L	K	U4	U4_err	m_susc	m_susc_err	dat
64	0.1610000000	4.861008715464e-01	8.599636862545e-02	1.400878393360e-03	2.207949235954e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EA9ECF0.dat
64	0.1611428571	7.601054670558e-01	8.371382605431e-02	3.144127127198e-03	6.618033995193e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EA8F81E.dat
64	0.1610714286	7.094895576190e-01	8.152373619972e-02	3.736287296088e-03	6.205305858015e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EA97267.dat
64	0.1612142857	7.960967617581e-01	6.839227557751e-02	2.975071457658e-03	7.200507682385e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EA87FB5.dat
64	0.1612857143	8.293524766150e-01	5.941236741208e-02	5.738806099398e-03	9.848627078883e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAB852C.dat
64	0.1613571429	9.755442012344e-01	1.812246880180e-02	1.175603363117e-03	5.896258122324e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAB08C3.dat
64	0.1615000000	9.923830191996e-01	1.959009227660e-03	2.569445090558e-04	3.552120835531e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.162_0.162_0.162_kt0.162/Lx64_Ly64_Tx0_Ty0_Nt256_k0.162_0.162_0.162_kt0.162_5EAA1411.dat
64	0.1614285714	9.946929371202e-01	1.020349349839e-03	7.704931544140e-05	1.907329656310e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAA8E7A.dat
48	0.1615000000	9.503804841267e-01	3.118919678417e-02	1.489331759257e-03	7.626286283809e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.162_0.162_0.162_kt0.162/Lx48_Ly48_Tx0_Ty0_Nt192_k0.162_0.162_0.162_kt0.162_5EAAD241.dat
48	0.1614285714	7.977468647483e-01	8.109359549668e-02	7.241207345073e-03	1.195151821732e-02	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EAB4CAA.dat
64	0.1609285714	3.220496440086e-01	1.607069291914e-01	1.071656595195e-03	2.241773350233e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAE6959.dat
64	0.1607857143	2.502081444243e-01	6.667927004127e-02	1.100419680042e-03	1.441283337954e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAF5C0B.dat
64	0.1608571429	2.158582101593e-01	9.243959699397e-02	8.187531118529e-04	1.631293175003e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAEE3A2.dat
64	0.1607142857	3.824214625996e-01	8.676065181493e-02	5.157278881597e-04	9.760977735565e-04	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAFD694.dat
64	0.1606428571	1.339618764709e-01	1.231715382119e-01	2.385423045780e-04	5.959896780425e-04	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAC50FD.dat
64	0.1605714286	3.473639223983e-01	8.051728460595e-02	5.821606457175e-04	7.452841770751e-04	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EACCD46.dat
64	0.1605000000	1.107056994650e-01	2.874225326774e-02	2.827635220092e-04	3.676012449412e-04	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161/Lx64_Ly64_Tx0_Ty0_Nt256_k0.161_0.161_0.161_kt0.161_5EAD47AF.dat
48	0.1613571429	7.074745067875e-01	9.608147713318e-02	5.624936275562e-03	1.071737057417e-02	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EABC933.dat
48	0.1612857143	7.855587322482e-01	7.056582655016e-02	4.121688343738e-03	8.730098781910e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EA8439C.dat
48	0.1611428571	3.240024939304e-01	1.438099117545e-01	1.959562838200e-03	3.723679156781e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EA8B64E.dat
48	0.1610714286	4.582995134295e-01	9.329270974694e-02	2.384413573150e-03	4.078212886945e-03	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EA930D7.dat
48	0.1612142857	6.610023536316e-01	1.023614127195e-01	5.694200492200e-03	1.060097664657e-02	out_binder_1605_1615_nk15_ntraj100_Nt4L_L8to128/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161/Lx48_Ly48_Tx0_Ty0_Nt192_k0.161_0.161_0.161_kt0.161_5EA83DE5.dat
