L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1738385612	9.998383375258e-01	2.139285926051e-06	1.137730401010e-04	1.983380856616e-03	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.174_0.174_0.174_kt0.174/Lx32_Ly32_Tx0_Ty0_Nt32_k0.174_0.174_0.174_kt0.174_5EAE6B90.dat
32	0.2000688015	9.999772966357e-01	1.214263322816e-07	1.968059353519e-05	1.064388218279e-03	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200/Lx32_Ly32_Tx0_Ty0_Nt32_k0.200_0.200_0.200_kt0.200_5EA9F107.dat
32	0.1510472654	6.448578290577e-02	6.650271872908e-03	3.362791612744e-04	1.470276325037e-04	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.151_0.151_0.151_kt0.151/Lx32_Ly32_Tx0_Ty0_Nt32_k0.151_0.151_0.151_kt0.151_5EAEE5F9.dat
32	0.1312440475	7.477421379138e-03	2.960253795408e-04	1.322113782167e-04	6.122131863203e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.131_0.131_0.131_kt0.131/Lx32_Ly32_Tx0_Ty0_Nt32_k0.131_0.131_0.131_kt0.131_5EAF5E42.dat
32	0.0650000000	2.945555219740e-04	3.027394422251e-06	2.519587986171e-05	1.076178848552e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065/Lx32_Ly32_Tx0_Ty0_Nt32_k0.065_0.065_0.065_kt0.065_5EADC24F.dat
32	0.2650000000	9.999969565468e-01	1.428006779269e-08	3.314886614536e-06	4.956789442235e-04	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.265_0.265_0.265_kt0.265/Lx32_Ly32_Tx0_Ty0_Nt32_k0.265_0.265_0.265_kt0.265_5EA8FA55.dat
32	0.0990861860	1.184628628331e-03	5.117492721506e-05	4.163984060287e-05	2.037740842109e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.099_0.099_0.099_kt0.099/Lx32_Ly32_Tx0_Ty0_Nt32_k0.099_0.099_0.099_kt0.099_5EAC5534.dat
32	0.2302568835	9.999924315742e-01	4.066250119460e-08	1.014329493054e-05	8.328074670781e-04	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.230_0.230_0.230_kt0.230/Lx32_Ly32_Tx0_Ty0_Nt32_k0.230_0.230_0.230_kt0.230_5EA974BE.dat
32	0.1140371523	2.383525957998e-03	6.174936462753e-05	4.618064276874e-05	2.501046555301e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114/Lx32_Ly32_Tx0_Ty0_Nt32_k0.114_0.114_0.114_kt0.114_5EAFD8AB.dat
32	0.0860953826	6.501665130215e-04	1.106971627919e-05	3.159719556570e-05	1.382238413196e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.086_0.086_0.086_kt0.086/Lx32_Ly32_Tx0_Ty0_Nt32_k0.086_0.086_0.086_kt0.086_5EACCF9D.dat
32	0.0748077527	4.312621423357e-04	8.036298206269e-06	2.430640310049e-05	1.136836759043e-05	out_binder_3d_ntraj1000_jk_cluster/Lx32_Ly32_Tx0_Ty0_Nt32_k0.075_0.075_0.075_kt0.075/Lx32_Ly32_Tx0_Ty0_Nt32_k0.075_0.075_0.075_kt0.075_5EAD49E6.dat
24	0.1738385612	9.996403245655e-01	6.563784049706e-06	2.383837287814e-04	2.899701250054e-03	out_binder_3d_ntraj1000_jk_cluster/Lx24_Ly24_Tx0_Ty0_Nt24_k0.174_0.174_0.174_kt0.174/Lx24_Ly24_Tx0_Ty0_Nt24_k0.174_0.174_0.174_kt0.174_5EAE08B8.dat
24	0.1312440475	1.650074792241e-02	9.252881377256e-04	2.447297021685e-04	1.130786757480e-04	out_binder_3d_ntraj1000_jk_cluster/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131/Lx24_Ly24_Tx0_Ty0_Nt24_k0.131_0.131_0.131_kt0.131_5EAF7F6A.dat
24	0.1510472654	1.104901611244e-01	7.667134416750e-03	7.576493544507e-04	3.355921062933e-04	out_binder_3d_ntraj1000_jk_cluster/Lx24_Ly24_Tx0_Ty0_Nt24_k0.151_0.151_0.151_kt0.151/Lx24_Ly24_Tx0_Ty0_Nt24_k0.151_0.151_0.151_kt0.151_5EAE8501.dat
