L	Nt	K	U4	U4_err	m_susc	m_susc_err	dat
8	32	0.145	1.059326998157e-01	1.205820753776e-02	2.799338616265e-03	7.851470542307e-04	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx8_Ly8_Tx0_Ty0_Nt32_k0.145_0.145_0.145_kt0.145/Lx8_Ly8_Tx0_Ty0_Nt32_k0.145_0.145_0.145_kt0.145_01354588.dat
8	32	0.155	1.360034106190e-01	1.519940310843e-02	6.823947683970e-03	1.845290042111e-03	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx8_Ly8_Tx0_Ty0_Nt32_k0.155_0.155_0.155_kt0.155/Lx8_Ly8_Tx0_Ty0_Nt32_k0.155_0.155_0.155_kt0.155_01354590.dat
8	32	0.165	6.056103041761e-01	3.849304371232e-02	3.202231407166e-02	9.170509048536e-03	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx8_Ly8_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165/Lx8_Ly8_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165_01354598.dat
8	32	0.175	9.797913477370e-01	1.768624074731e-02	7.598686122894e-03	1.027330562764e-02	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx8_Ly8_Tx0_Ty0_Nt32_k0.175_0.175_0.175_kt0.175/Lx8_Ly8_Tx0_Ty0_Nt32_k0.175_0.175_0.175_kt0.175_013545A0.dat
10	40	0.145	2.089953264351e-01	2.617687478053e-02	1.425557693750e-03	4.809018733844e-04	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx10_Ly10_Tx0_Ty0_Nt40_k0.145_0.145_0.145_kt0.145/Lx10_Ly10_Tx0_Ty0_Nt40_k0.145_0.145_0.145_kt0.145_01354D58.dat
10	40	0.155	2.967855378441e-01	3.546136156061e-02	4.767810493750e-03	1.644635722260e-03	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx10_Ly10_Tx0_Ty0_Nt40_k0.155_0.155_0.155_kt0.155/Lx10_Ly10_Tx0_Ty0_Nt40_k0.155_0.155_0.155_kt0.155_01354D60.dat
10	40	0.165	7.765009150136e-01	4.562142097464e-02	2.530987060000e-02	1.067866692942e-02	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx10_Ly10_Tx0_Ty0_Nt40_k0.165_0.165_0.165_kt0.165/Lx10_Ly10_Tx0_Ty0_Nt40_k0.165_0.165_0.165_kt0.165_01354D68.dat
10	40	0.175	9.957677129720e-01	9.095583229890e-03	9.789084937495e-04	4.207032083372e-03	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx10_Ly10_Tx0_Ty0_Nt40_k0.175_0.175_0.175_kt0.175/Lx10_Ly10_Tx0_Ty0_Nt40_k0.175_0.175_0.175_kt0.175_01354D70.dat
12	48	0.145	1.408540223252e-01	1.765220312925e-02	1.000427631226e-03	3.328358148138e-04	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx12_Ly12_Tx0_Ty0_Nt48_k0.145_0.145_0.145_kt0.145/Lx12_Ly12_Tx0_Ty0_Nt48_k0.145_0.145_0.145_kt0.145_01355528.dat
12	48	0.155	3.014292659171e-01	3.573218679846e-02	2.662666067534e-03	9.002443496781e-04	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx12_Ly12_Tx0_Ty0_Nt48_k0.155_0.155_0.155_kt0.155/Lx12_Ly12_Tx0_Ty0_Nt48_k0.155_0.155_0.155_kt0.155_01355530.dat
12	48	0.165	8.626865980126e-01	3.879344366714e-02	2.210407958482e-02	1.051333009674e-02	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx12_Ly12_Tx0_Ty0_Nt48_k0.165_0.165_0.165_kt0.165/Lx12_Ly12_Tx0_Ty0_Nt48_k0.165_0.165_0.165_kt0.165_01355538.dat
12	48	0.175	9.979181808219e-01	6.441871688795e-03	4.761141532414e-04	2.951276483387e-03	K_from_BC/twisted_parallelogram_3d/out_binder_eq_nt4/Lx12_Ly12_Tx0_Ty0_Nt48_k0.175_0.175_0.175_kt0.175/Lx12_Ly12_Tx0_Ty0_Nt48_k0.175_0.175_0.175_kt0.175_01355540.dat
