L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1600000000	3.758690076758e-01	2.722896091856e-02	4.609596891090e-03	9.823223908346e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EAE6B90.dat
32	0.1597142857	3.758690076758e-01	2.722896091856e-02	4.609596891090e-03	9.823223908346e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EAE6B90.dat
32	0.1602857143	4.295457413977e-01	2.967704399274e-02	5.071599116385e-03	1.182776697911e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EA9F107.dat
32	0.1605714286	5.283567380563e-01	2.425100452303e-02	6.430569123268e-03	1.454333658054e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1608571429	6.521500745674e-01	1.769377897197e-02	8.059202213213e-03	1.911698101765e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA8FA55.dat
32	0.1611428571	7.351431010340e-01	1.510255966924e-02	8.653259685397e-03	2.319526258258e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA801CC.dat
32	0.1614285714	7.351431010340e-01	1.510255966924e-02	8.653259685397e-03	2.319526258258e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA801CC.dat
32	0.1617142857	8.697280214070e-01	8.429428301012e-03	7.139842136204e-03	2.643936731878e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EAB0D1A.dat
32	0.1620000000	9.310162845816e-01	4.572666944908e-03	4.328844049573e-03	2.391874721077e-03	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EAA90B1.dat
24	0.1620000000	8.796578169887e-01	7.720042503235e-03	8.976480464313e-03	3.390405420225e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
24	0.1617142857	8.796578169887e-01	7.720042503235e-03	8.976480464313e-03	3.390405420225e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
32	0.1594285714	2.465543060239e-01	2.538197867889e-02	3.148731926084e-03	6.461915339872e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAF5E42.dat
32	0.1588571429	1.664016198544e-01	2.404911785468e-02	2.388235541865e-03	4.933912032149e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAC5534.dat
32	0.1591428571	1.664016198544e-01	2.404911785468e-02	2.388235541865e-03	4.933912032149e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAC5534.dat
32	0.1585714286	1.664016198544e-01	2.404911785468e-02	2.388235541865e-03	4.933912032149e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAC5534.dat
24	0.1614285714	7.933304085710e-01	1.144044419501e-02	8.993949357733e-03	2.872973157612e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EABA48B.dat
24	0.1611428571	7.534110367341e-01	1.347356452962e-02	1.012803498579e-02	2.817604952780e-03	out_binder_refine_0158_0162_n15_t5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EA82114.dat
32	0.1582857143	1.302827085156e-01	1.808457327235e-02	1.608577241659e-03	3.399906276161e-04	out_binder_refine_0158_0162_n15_t5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158/Lx32_Ly32_Tx0_Ty0_Nt32_k0.158_0.158_0.158_kt0.158_5EAD49E6.dat
