L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1596000000	2.953363803934e-01	2.426388312239e-02	3.597306458652e-03	7.548114228482e-04	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EAFD8AB.dat
32	0.1592000000	1.874485529653e-01	2.458154888056e-02	2.627417799518e-03	5.468200958128e-04	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159/Lx32_Ly32_Tx0_Ty0_Nt32_k0.159_0.159_0.159_kt0.159_5EAC5534.dat
32	0.1600000000	3.600817095512e-01	3.327243725964e-02	4.835884858295e-03	1.021882690140e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EAF5E42.dat
32	0.1604000000	4.613748215723e-01	3.354696624972e-02	5.761301108882e-03	1.298992449072e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt32_k0.160_0.160_0.160_kt0.160_5EAEE5F9.dat
32	0.1608000000	6.452127132641e-01	1.745013533375e-02	6.941251265094e-03	1.696484543877e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1612000000	7.637914866099e-01	1.340144459166e-02	8.338689984918e-03	2.276506586562e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA9F107.dat
32	0.1616000000	8.832346488425e-01	7.678892382870e-03	6.023962744638e-03	2.471366429168e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA974BE.dat
32	0.1620000000	9.354962508179e-01	4.603995960883e-03	3.990560143948e-03	2.349106270813e-03	out_binder_refine_158_162_ntraj5000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA8FA55.dat
24	0.1620000000	8.716792597984e-01	7.891907480597e-03	9.192554283278e-03	3.436139153423e-03	out_binder_refine_158_162_ntraj5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162_5EA89B7D.dat
24	0.1616000000	8.716792597984e-01	7.891907480597e-03	9.192554283278e-03	3.436139153423e-03	out_binder_refine_158_162_ntraj5000/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt24_k0.162_0.162_0.162_kt0.162_5EA89B7D.dat
