L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1610000000	7.193000040841e-01	1.081964925927e-02	7.702089330848e-03	1.406702779408e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1608571429	7.193000040841e-01	1.081964925927e-02	7.702089330848e-03	1.406702779408e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1607142857	7.193000040841e-01	1.081964925927e-02	7.702089330848e-03	1.406702779408e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1605714286	7.193000040841e-01	1.081964925927e-02	7.702089330848e-03	1.406702779408e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1611428571	7.672986451938e-01	9.235397378200e-03	7.542928880420e-03	1.505281784961e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA9F107.dat
32	0.1612857143	8.056488383194e-01	7.958095374450e-03	8.064571958050e-03	1.672577428101e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1614285714	8.343684849423e-01	6.858988520995e-03	7.253580442429e-03	1.701749952476e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EA8FA55.dat
32	0.1615714286	8.658675073526e-01	5.954908459062e-03	6.782219946500e-03	1.764797331767e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1617142857	8.658675073526e-01	5.954908459062e-03	6.782219946500e-03	1.764797331767e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1618571429	8.658675073526e-01	5.954908459062e-03	6.782219946500e-03	1.764797331767e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1620000000	8.658675073526e-01	5.954908459062e-03	6.782219946500e-03	1.764797331767e-03	out_binder_refine_160_162_nk15_ntraj10000/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
