L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1612857143	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1608571429	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1607142857	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1605714286	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1610000000	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1611428571	4.729916596633e-01	3.954892729062e-02	6.625656128186e-03	3.147176399321e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1615714286	6.413921226238e-01	3.488007945459e-02	8.198688745010e-03	4.084716741196e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1614285714	6.093564879201e-01	3.443155016881e-02	7.268512092787e-03	3.415567118520e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA8FA55.dat
32	0.1617142857	6.413921226238e-01	3.488007945459e-02	8.198688745010e-03	4.084716741196e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1618571429	6.413921226238e-01	3.488007945459e-02	8.198688745010e-03	4.084716741196e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1620000000	6.413921226238e-01	3.488007945459e-02	8.198688745010e-03	4.084716741196e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
24	0.1620000000	7.634922919155e-01	2.535539919025e-02	1.039466953395e-02	6.384965881130e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
24	0.1617142857	7.634922919155e-01	2.535539919025e-02	1.039466953395e-02	6.384965881130e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
24	0.1618571429	7.634922919155e-01	2.535539919025e-02	1.039466953395e-02	6.384965881130e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
24	0.1615714286	6.294686176830e-01	3.307756735155e-02	7.979313333535e-03	4.437914466476e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EA82114.dat
24	0.1614285714	5.035185105501e-01	4.148270025680e-02	6.928959164273e-03	3.877561865861e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EA89B7D.dat
24	0.1608571429	5.035185105501e-01	4.148270025680e-02	6.928959164273e-03	3.877561865861e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EA89B7D.dat
24	0.1607142857	5.035185105501e-01	4.148270025680e-02	6.928959164273e-03	3.877561865861e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EA89B7D.dat
24	0.1605714286	5.035185105501e-01	4.148270025680e-02	6.928959164273e-03	3.877561865861e-03	out_binder_refine_160_162_nk15_ntraj1000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt96_k0.161_0.161_0.161_kt0.161_5EA89B7D.dat
