L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1610000000	3.664048112476e-01	3.458655590213e-02	5.236242304504e-03	1.616057898806e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EAE6B90.dat
32	0.1611428571	4.228928165112e-01	2.975667641442e-02	5.518875738396e-03	1.784525226327e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA9F107.dat
32	0.1612857143	4.909848188970e-01	2.810765465472e-02	6.284567054803e-03	2.164687185918e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA974BE.dat
32	0.1614285714	6.313014978017e-01	2.324046037670e-02	7.642823189381e-03	2.671038587237e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EA8FA55.dat
32	0.1615714286	7.140195589456e-01	2.169319289792e-02	8.407634445693e-03	3.192049336823e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EA801CC.dat
32	0.1617142857	8.235370910877e-01	1.418747529325e-02	6.708654866181e-03	3.564939627900e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EAB8763.dat
32	0.1618571429	8.610324292498e-01	1.351977868686e-02	6.133724095090e-03	3.649027363612e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EAB0D1A.dat
32	0.1620000000	9.294284367577e-01	8.422063215226e-03	6.317961675092e-03	3.944672879514e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt128_k0.162_0.162_0.162_kt0.162_5EAA90B1.dat
24	0.1620000000	7.551441743485e-01	1.782499285118e-02	1.107299436349e-02	4.503829177925e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAAB1D9.dat
32	0.1608571429	2.669924645365e-01	4.610495147717e-02	3.451536523621e-03	1.197545512763e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EAEE5F9.dat
32	0.1607142857	2.785335131342e-01	3.093085312415e-02	2.537375352992e-03	8.683374787344e-04	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EAF5E42.dat
32	0.1605714286	2.462078913667e-01	3.301976001296e-02	2.704975264985e-03	8.356225544293e-04	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt128_k0.161_0.161_0.161_kt0.161_5EAFD8AB.dat
32	0.1604285714	2.205092011760e-01	3.070814284071e-02	2.279838578304e-03	7.277692312636e-04	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt128_k0.160_0.160_0.160_kt0.160_5EAC5534.dat
32	0.1602857143	1.307642556716e-01	4.784329362816e-02	1.737370151817e-03	5.839522167645e-04	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx32_Ly32_Tx0_Ty0_Nt128_k0.160_0.160_0.160_kt0.160/Lx32_Ly32_Tx0_Ty0_Nt128_k0.160_0.160_0.160_kt0.160_5EACCF9D.dat
24	0.1618571429	7.334659700687e-01	1.935220064014e-02	1.122750229423e-02	4.229430439069e-03	out_binder_refine_160_162_nk15_ntraj2000_Nt4L/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162/Lx24_Ly24_Tx0_Ty0_Nt96_k0.162_0.162_0.162_kt0.162_5EAB2A22.dat
