L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1510470000	6.068922038970e-02	4.215152408260e-03	4.112422060221e-04	1.871769551169e-04	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.151_0.151_0.151_kt0.151/Lx32_Ly32_Tx0_Ty0_Nt32_k0.151_0.151_0.151_kt0.151_5EADC24F.dat
32	0.1559492000	1.838852777136e-01	1.524148156541e-02	8.643853053451e-04	4.256697165219e-04	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.156_0.156_0.156_kt0.156/Lx32_Ly32_Tx0_Ty0_Nt32_k0.156_0.156_0.156_kt0.156_5EAD49E6.dat
32	0.1608514000	7.588898288289e-01	2.627660322031e-02	7.278171442449e-03	4.130883992972e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161/Lx32_Ly32_Tx0_Ty0_Nt32_k0.161_0.161_0.161_kt0.161_5EACCF9D.dat
32	0.1657536000	9.991716394493e-01	2.746281598235e-05	4.730108123272e-04	3.090661562309e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.166_0.166_0.166_kt0.166/Lx32_Ly32_Tx0_Ty0_Nt32_k0.166_0.166_0.166_kt0.166_5EAC5534.dat
32	0.1706558000	9.997475365056e-01	3.746411258542e-06	1.863895636052e-04	2.359414217402e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.171_0.171_0.171_kt0.171/Lx32_Ly32_Tx0_Ty0_Nt32_k0.171_0.171_0.171_kt0.171_5EAFD8AB.dat
24	0.1657536000	9.977867346510e-01	1.229192549117e-04	1.465919348111e-03	5.359226205027e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.166_0.166_0.166_kt0.166/Lx24_Ly24_Tx0_Ty0_Nt24_k0.166_0.166_0.166_kt0.166_5EAC725C.dat
32	0.1755580000	9.998748451841e-01	1.372321776588e-06	7.287942469114e-05	1.646264360508e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.176_0.176_0.176_kt0.176/Lx32_Ly32_Tx0_Ty0_Nt32_k0.176_0.176_0.176_kt0.176_5EAF5E42.dat
24	0.1608514000	7.823623956372e-01	2.359444788321e-02	8.652235852151e-03	5.299011350713e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161/Lx24_Ly24_Tx0_Ty0_Nt24_k0.161_0.161_0.161_kt0.161_5EACECA5.dat
32	0.1804602000	9.999210963302e-01	7.239138483693e-07	5.519018471245e-05	1.536957326928e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.180_0.180_0.180_kt0.180/Lx32_Ly32_Tx0_Ty0_Nt32_k0.180_0.180_0.180_kt0.180_5EAEE5F9.dat
24	0.1559492000	2.360171169424e-01	1.769430229707e-02	2.181186160073e-03	1.158026805493e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.156_0.156_0.156_kt0.156/Lx24_Ly24_Tx0_Ty0_Nt24_k0.156_0.156_0.156_kt0.156_5EAD690E.dat
32	0.1853624000	9.999467984525e-01	5.407922619132e-07	6.755535155523e-05	1.789022762210e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.185_0.185_0.185_kt0.185/Lx32_Ly32_Tx0_Ty0_Nt32_k0.185_0.185_0.185_kt0.185_5EAE6B90.dat
24	0.1510470000	1.176975786355e-01	7.893420349138e-03	8.027988658847e-04	3.834031672396e-04	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.151_0.151_0.151_kt0.151/Lx24_Ly24_Tx0_Ty0_Nt24_k0.151_0.151_0.151_kt0.151_5EADE397.dat
24	0.1706558000	9.993706391965e-01	1.784938165807e-05	6.168487067412e-04	4.260056605729e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.171_0.171_0.171_kt0.171/Lx24_Ly24_Tx0_Ty0_Nt24_k0.171_0.171_0.171_kt0.171_5EAFF9F3.dat
24	0.1755580000	9.996883126504e-01	6.382275853215e-06	3.044011203680e-04	3.338762240649e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.176_0.176_0.176_kt0.176/Lx24_Ly24_Tx0_Ty0_Nt24_k0.176_0.176_0.176_kt0.176_5EAF7F6A.dat
24	0.1804602000	9.998166131148e-01	2.714223227773e-06	1.435247141314e-04	2.482474970182e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.180_0.180_0.180_kt0.180/Lx24_Ly24_Tx0_Ty0_Nt24_k0.180_0.180_0.180_kt0.180_5EAE8501.dat
16	0.1657536000	9.935538512242e-01	5.100564922336e-04	2.297461009026e-03	6.828555480109e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.166_0.166_0.166_kt0.166/Lx16_Ly16_Tx0_Ty0_Nt16_k0.166_0.166_0.166_kt0.166_5EAC1364.dat
16	0.1608514000	7.895654480675e-01	2.364860447276e-02	1.675282027721e-02	9.439237511660e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161/Lx16_Ly16_Tx0_Ty0_Nt16_k0.161_0.161_0.161_kt0.161_5EAC8DCD.dat
24	0.1853624000	9.998764303155e-01	1.493453361589e-06	1.079270078977e-04	2.268498138211e-03	out_binder_refine_left_to_right2/Lx24_Ly24_Tx0_Ty0_Nt24_k0.185_0.185_0.185_kt0.185/Lx24_Ly24_Tx0_Ty0_Nt24_k0.185_0.185_0.185_kt0.185_5EAE08B8.dat
32	0.1902646000	9.999614320964e-01	2.946721302887e-07	4.480424933140e-05	1.516521845127e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.190_0.190_0.190_kt0.190/Lx32_Ly32_Tx0_Ty0_Nt32_k0.190_0.190_0.190_kt0.190_5EA9F107.dat
16	0.1559492000	3.735040573326e-01	2.394175518435e-02	6.220861816406e-03	2.722658824996e-03	out_binder_refine_left_to_right2/Lx16_Ly16_Tx0_Ty0_Nt16_k0.156_0.156_0.156_kt0.156/Lx16_Ly16_Tx0_Ty0_Nt16_k0.156_0.156_0.156_kt0.156_5EAD0656.dat
32	0.1951668000	9.999703944999e-01	1.831406103373e-07	2.925593405967e-05	1.263546696830e-03	out_binder_refine_left_to_right2/Lx32_Ly32_Tx0_Ty0_Nt32_k0.195_0.195_0.195_kt0.195/Lx32_Ly32_Tx0_Ty0_Nt32_k0.195_0.195_0.195_kt0.195_5EA974BE.dat
