L	K	U4	U4_err	m_susc	m_susc_err	dat
32	0.1624473804	9.676674646625e-01	4.304822395969e-03	2.334152199328e-03	4.626220975711e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EACCF9D.dat
32	0.1616932430	9.676674646625e-01	4.304822395969e-03	2.334152199328e-03	4.626220975711e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162/Lx32_Ly32_Tx0_Ty0_Nt32_k0.162_0.162_0.162_kt0.162_5EACCF9D.dat
32	0.1632015178	9.863580524720e-01	1.650762576108e-03	1.130484884977e-03	3.772625970813e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.163_0.163_0.163_kt0.163/Lx32_Ly32_Tx0_Ty0_Nt32_k0.163_0.163_0.163_kt0.163_5EAC5534.dat
32	0.1639556552	9.902189366299e-01	1.318745122446e-03	9.157609283924e-04	3.698554148650e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.164_0.164_0.164_kt0.164/Lx32_Ly32_Tx0_Ty0_Nt32_k0.164_0.164_0.164_kt0.164_5EAFD8AB.dat
32	0.1647097926	9.942866221303e-01	6.458490173413e-04	6.684731882065e-04	3.413252913523e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165/Lx32_Ly32_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165_5EAF5E42.dat
32	0.1654639301	9.956292781731e-01	5.116659414588e-04	5.978720676154e-04	3.382544416531e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165/Lx32_Ly32_Tx0_Ty0_Nt32_k0.165_0.165_0.165_kt0.165_5EAEE5F9.dat
32	0.1662180675	9.967987450928e-01	3.679329053457e-04	4.447686206550e-04	3.069606658279e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.166_0.166_0.166_kt0.166/Lx32_Ly32_Tx0_Ty0_Nt32_k0.166_0.166_0.166_kt0.166_5EAE6B90.dat
32	0.1669722049	9.975951622561e-01	2.743439835118e-04	3.324446361512e-04	2.738273252341e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.167_0.167_0.167_kt0.167/Lx32_Ly32_Tx0_Ty0_Nt32_k0.167_0.167_0.167_kt0.167_5EA9F107.dat
32	0.1677263423	9.978811899722e-01	1.866306268670e-04	3.199400346726e-04	2.773822458509e-03	out_binder_refine_zoom2_momentJK/Lx32_Ly32_Tx0_Ty0_Nt32_k0.168_0.168_0.168_kt0.168/Lx32_Ly32_Tx0_Ty0_Nt32_k0.168_0.168_0.168_kt0.168_5EA974BE.dat
24	0.1647097926	9.863329315160e-01	1.545785164516e-03	1.500408625766e-03	5.075466442993e-03	out_binder_refine_zoom2_momentJK/Lx24_Ly24_Tx0_Ty0_Nt24_k0.165_0.165_0.165_kt0.165/Lx24_Ly24_Tx0_Ty0_Nt24_k0.165_0.165_0.165_kt0.165_5EAF7F6A.dat
