# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9995282588217471e-01 1.0142448042483588e-04
1 1 -5 5.3341105527638055e-01 2.3858095515747525e-03 5.3336388115855526e-01 2.3877506360900549e-03
2 1 -4 5.4922211055276338e-01 2.1573463377565732e-03 5.4917493643493809e-01 2.1597958639729548e-03
3 1 -3 5.7432964824120480e-01 1.8631608418545709e-03 5.7428247412337952e-01 1.8659654799576253e-03
4 1 -2 6.1761809045226024e-01 1.4930269510396413e-03 6.1757091633443495e-01 1.4960301327042688e-03
5 1 -1 6.9000603015075390e-01 1.0647793637453774e-03 6.8995885603292861e-01 1.0692603609960577e-03
6 2 -10 5.2385326633165674e-01 2.5611443421460073e-03 5.2380609221383145e-01 2.5630449775477355e-03
7 2 -9 5.1883216080401617e-01 2.6658409835157875e-03 5.1878498668619089e-01 2.6676297512584221e-03
8 2 -8 5.1807236180904292e-01 2.6869321392065390e-03 5.1802518769121764e-01 2.6886793367855459e-03
9 2 -7 5.2031557788944494e-01 2.6358625610075283e-03 5.2026840377161965e-01 2.6376286895875285e-03
10 2 -6 5.2563015075376318e-01 2.5168463585683960e-03 5.2558297663593789e-01 2.5188471519874108e-03
11 2 -5 5.3645427135678225e-01 2.3371761952112801e-03 5.3640709723895696e-01 2.3396229267180213e-03
12 2 -4 5.5218894472361646e-01 2.1195708940327865e-03 5.5214177060579117e-01 2.1221538382436345e-03
13 2 -3 5.7441608040200731e-01 1.8595381090863040e-03 5.7436890628418202e-01 1.8622177901147772e-03
14 2 -2 6.0339296482411753e-01 1.5987134869689106e-03 6.0334579070629224e-01 1.6018507966862768e-03
15 2 -1 6.1950351758794053e-01 1.4721276217625865e-03 6.1945634347011524e-01 1.4752363282848535e-03
16 3 -15 6.9022311557788685e-01 1.0632947350783413e-03 6.9017594146006156e-01 1.0674279405048707e-03
17 3 -14 6.0328040201004662e-01 1.6020835119953218e-03 6.0323322789222134e-01 1.6050109738860137e-03
18 3 -13 5.6400402010049955e-01 1.9737997036097859e-03 5.6395684598267426e-01 1.9761449763988979e-03
19 3 -12 5.4183316582914198e-01 2.2512767547530669e-03 5.4178599171131669e-01 2.2532139294970930e-03
20 3 -11 5.2829145728642990e-01 2.4662451914421561e-03 5.2824428316860461e-01 2.4681045238105223e-03
21 3 -10 5.2157587939698558e-01 2.6024215961850876e-03 5.2152870527916029e-01 2.6041772839784181e-03
22 3 -9 5.1823919597989665e-01 2.6782420521658792e-03 5.1819202186207136e-01 2.6799514526657194e-03
23 3 -8 5.1804020100502501e-01 2.6772389968488311e-03 5.1799302688719973e-01 2.6791190089929689e-03
24 3 -7 5.2018693467336230e-01 2.6164398891229930e-03 5.2013976055553701e-01 2.6184948753348162e-03
25 3 -6 5.2639195979899500e-01 2.4904235136910548e-03 5.2634478568116971e-01 2.4924824751113178e-03
26 3 -5 5.3653065326633209e-01 2.3333876989657708e-03 5.3648347914850680e-01 2.3356005598455403e-03
27 3 -4 5.4972462311557457e-01 2.1445987027343973e-03 5.4967744899774929e-01 2.1468835692574329e-03
28 3 -3 5.6473165829145566e-01 1.9635269153043221e-03 5.6468448417363037e-01 1.9660032344505137e-03
29 3 -2 5.7631959798994836e-01 1.8349436014099120e-03 5.7627242387212307e-01 1.8374444736419518e-03
30 3 -1 5.7801407035175778e-01 1.8283123791644996e-03 5.7796689623393249e-01 1.8306517103652096e-03
31 4 -16 6.9067135678392111e-01 1.0580294538405821e-03 6.9062418266609582e-01 1.0623298504366943e-03
32 4 -15 6.1879597989949620e-01 1.4777857184426373e-03 6.1874880578167091e-01 1.4809386824563120e-03
33 4 -14 5.7522613065326500e-01 1.8483998909917929e-03 5.7517895653543971e-01 1.8508050891199810e-03
34 4 -13 5.4992562814070056e-01 2.1340596886404322e-03 5.4987845402287527e-01 2.1360990021618460e-03
35 4 -12 5.3333668341708196e-01 2.3687487290023363e-03 5.3328950929925667e-01 2.3707330775016443e-03
36 4 -11 5.2435376884421769e-01 2.5382271218112318e-03 5.2430659472639241e-01 2.5399427442104640e-03
37 4 -10 5.1886231155778728e-01 2.6412670685836844e-03 5.1881513743996199e-01 2.6430046034785952e-03
38 4 -9 5.1672964824120526e-01 2.6943617858589440e-03 5.1668247412337998e-01 2.6962293084421499e-03
39 4 -8 5.1691658291457110e-01 2.6795476548396552e-03 5.1686940879674581e-01 2.6815280556239576e-03
40 4 -7 5.1990351758793774e-01 2.6084778359597742e-03 5.1985634347011245e-01 2.6105720707056482e-03
41 4 -6 5.2601608040200865e-01 2.4971449570345152e-03 5.2596890628418336e-01 2.4993228298243768e-03
42 4 -5 5.3409849246230856e-01 2.3648862839006665e-03 5.3405131834448327e-01 2.3669861901913819e-03
43 4 -4 5.4327035175879201e-01 2.2223647055841355e-03 5.4322317764096673e-01 2.2247428427514919e-03
44 4 -3 5.5162613065326482e-01 2.1115039391940921e-03 5.5157895653543954e-01 2.1138901953757405e-03
45 4 -2 5.5596180904522274e-01 2.0671628579671275e-03 5.5591463492739746e-01 2.0695327117856354e-03
46 4 -1 5.5455879396984797e-01 2.0944788771978537e-03 5.5451161985202269e-01 2.0967198281601021e-03
47 5 -16 6.0461507537688142e-01 1.5897650451459063e-03 6.0456790125905613e-01 1.5927883156550138e-03
48 5 -15 5.7615879396984704e-01 1.8346274565144329e-03 5.7611161985202175e-01 1.8370593776934397e-03
49 5 -14 5.5401005025125327e-01 2.0778578476453760e-03 5.5396287613342798e-01 2.0800593255433444e-03
50 5 -13 5.3794371859296009e-01 2.2935874671593933e-03 5.3789654447513480e-01 2.2956230796956673e-03
51 5 -12 5.2688844221105635e-01 2.4735839501719339e-03 5.2684126809323106e-01 2.4755095982112447e-03
52 5 -11 5.2032160804019723e-01 2.6043387643482747e-03 5.2027443392237194e-01 2.6061835612581122e-03
53 5 -10 5.1674572864321289e-01 2.6771692035002636e-03 5.1669855452538760e-01 2.6792553233452184e-03
54 5 -9 5.1556582914572624e-01 2.7117111059989517e-03 5.1551865502790095e-01 2.7137507756028892e-03
55 5 -8 5.1628140703517333e-01 2.6946564164469912e-03 5.1623423291734805e-01 2.6966968226992765e-03
56 5 -7 5.1935276381909412e-01 2.6202937605992716e-03 5.1930558970126883e-01 2.6222862352925820e-03
57 5 -6 5.2403819095477278e-01 2.5322127954568890e-03 5.2399101683694749e-01 2.5343075565154262e-03
58 5 -5 5.3066130653266197e-01 2.4199333807640284e-03 5.3061413241483668e-01 2.4221483662278088e-03
59 5 -4 5.3696884422110480e-01 2.3169639064508684e-03 5.3692167010327951e-01 2.3193007775645642e-03
60 5 -3 5.4116783919597899e-01 2.2595498381706041e-03 5.4112066507815371e-01 2.2617066424817783e-03
61 5 -2 5.4335879396984577e-01 2.2498103719046508e-03 5.4331161985202048e-01 2.2518392804461804e-03
62 6 -16 5.6713165829145495e-01 1.9368266913392539e-03 5.6708448417362967e-01 1.9391362030934957e-03
63 6 -15 5.5283216080401865e-01 2.0986174941096695e-03 5.5278498668619336e-01 2.1007855131246877e-03
64 6 -14 5.3928442211054994e-01 2.2683494623188137e-03 5.3923724799272466e-01 2.2704614279694503e-03
65 6 -13 5.2899095477386515e-01 2.4214379742180975e-03 5.2894378065603986e-01 2.4234721421417657e-03
66 6 -12 5.2182713567839056e-01 2.5543351408970996e-03 5.2177996156056528e-01 2.5563361466355342e-03
67 6 -11 5.1732261306532468e-01 2.6524258281945073e-03 5.1727543894749939e-01 2.6544689843406000e-03
68 6 -10 5.1525025125627877e-01 2.7171550777001915e-03 5.1520307713845348e-01 2.7192999150043710e-03
69 6 -9 5.1471557788944444e-01 2.7384637188408506e-03 5.1466840377161915e-01 2.7404257943038995e-03
70 6 -8 5.1553969849245962e-01 2.7153920270117913e-03 5.1549252437463433e-01 2.7172971678749679e-03
71 6 -7 5.1841608040200848e-01 2.6524020410490174e-03 5.1836890628418320e-01 2.6545530268478846e-03
72 6 -6 5.2254472361808635e-01 2.5639448756797170e-03 5.2249754950026106e-01 2.5659477157615263e-03
73 6 -5 5.2697889447236090e-01 2.4692820967404296e-03 5.2693172035453562e-01 2.4715147033054796e-03
74 6 -4 5.3215879396984833e-01 2.3965145603418074e-03 5.3211161985202304e-01 2.3987315878834905e-03
75 6 -3 5.3510753768844055e-01 2.3581129076107273e-03 5.3506036357061526e-01 2.3603352246257623e-03
76 6 -2 5.3727437185929372e-01 2.3606153351592315e-03 5.3722719774146843e-01 2.3629658575068896e-03
77 7 -16 5.4808844221105713e-01 2.1725667658238847e-03 5.4804126809323184e-01 2.1748370832260634e-03
78 7 -15 5.3932864321607643e-01 2.2821386951532596e-03 5.3928146909825114e-01 2.2843912217924717e-03
79 7 -14 5.3078592964823756e-01 2.3969398471583225e-03 5.3073875553041228e-01 2.3991260491451932e-03
80 7 -13 5.2422914572864043e-01 2.5067561915704537e-03 5.2418197161081515e-01 2.5089589983692063e-03
81 7 -12 5.1962211055276164e-01 2.6101596412085640e-03 5.1957493643493635e-01 2.6121128537393572e-03
82 7 -11 5.1621909547738565e-01 2.6929637449424480e-03 5.1617192135956036e-01 2.6949117212442214e-03
83 7 -10 5.1381105527637805e-01 2.7551754731199884e-03 5.1376388115855276e-01 2.7570680659674950e-03
84 7 -9 5.1349145728642887e-01 2.7719800248472625e-03 5.1344428316860358e-01 2.7737359950790645e-03
85 7 -8 5.1490251256281183e-01 2.7314412376377370e-03 5.1485533844498654e-01 2.7333062016596712e-03
86 7 -7 5.1779095477386716e-01 2.6615888810891165e-03 5.1774378065604187e-01 2.6635011223211089e-03
87 7 -6 5.2158190954773864e-01 2.5734328698922629e-03 5.2153473542991335e-01 2.5754328256202847e-03
88 7 -5 5.2614673366834042e-01 2.4920594127276854e-03 5.2609955955051513e-01 2.4943764863206018e-03
89 7 -4 5.3093467336683131e-01 2.4237981068351202e-03 5.3088749924900602e-01 2.4261287892703987e-03
90 7 -3 5.3392361809045086e-01 2.3919126612478611e-03 5.3387644397262557e-01 2.3942787997295804e-03
91 7 -2 5.3651658291457238e-01 2.3754006533285208e-03 5.3646940879674709e-01 2.3777343051055670e-03
92 8 -17 5.4182311557788887e-01 2.2786451970732671e-03 5.4177594146006358e-01 2.2809725686085578e-03
93 8 -16 5.3790954773869148e-01 2.3244567264756439e-03 5.3786237362086620e-01 2.3267110982499138e-03
94 8 -15 5.3270552763819001e-01 2.3914888737898575e-03 5.3265835352036472e-01 2.3938115979612665e-03
95 8 -14 5.2705929648240879e-01 2.4683103672740051e-03 5.2701212236458350e-01 2.4706261750864870e-03
96 8 -13 5.2212462311557539e-01 2.5584612518217702e-03 5.2207744899775010e-01 2.5606188841872076e-03
