# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -15 5.7155062499999998e-01 4.3862578938907363e-04 5.7154924657724604e-01 4.3862975559358591e-04
1 0 -14 4.2798906250000002e-01 6.6279454062037309e-04 4.2798768407724613e-01 6.6279873082410970e-04
2 0 -13 3.5493999999999998e-01 8.2023611208145426e-04 3.5493862157724609e-01 8.2024572518436497e-04
3 0 -12 3.1111343749999998e-01 9.4140910324360164e-04 3.1111205907724609e-01 9.4141567688519993e-04
4 0 -11 2.8293968749999998e-01 1.0380442043654969e-03 2.8293830907724610e-01 1.0380508242562431e-03
5 0 -10 2.6559406250000001e-01 1.1169313431848317e-03 2.6559268407724612e-01 1.1169394740110203e-03
6 0 -9 2.5622093750000002e-01 1.1762488886078370e-03 2.5621955907724614e-01 1.1762457426250236e-03
7 0 -8 2.5305812500000002e-01 1.2091644149699774e-03 2.5305674657724614e-01 1.2091574788554284e-03
8 0 -7 2.5622093750000002e-01 1.1762488886078370e-03 2.5621955907724614e-01 1.1762457426250236e-03
9 0 -6 2.6559406250000001e-01 1.1169313431848317e-03 2.6559268407724612e-01 1.1169394740110203e-03
10 0 -5 2.8293968749999998e-01 1.0380442043654969e-03 2.8293830907724610e-01 1.0380508242562431e-03
11 0 -4 3.1111343749999998e-01 9.4140910324360164e-04 3.1111205907724609e-01 9.4141567688519993e-04
12 0 -3 3.5493999999999998e-01 8.2023611208145426e-04 3.5493862157724609e-01 8.2024572518436497e-04
13 0 -2 4.2798906250000002e-01 6.6279454062037309e-04 4.2798768407724613e-01 6.6279873082410970e-04
14 0 -1 5.7155062499999998e-01 4.3862578938907363e-04 5.7154924657724604e-01 4.3862975559358591e-04
15 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9999862157724606e-01 5.7070387139312508e-06
16 1 -15 4.5484406249999998e-01 6.1268697560513908e-04 4.5484268407724610e-01 6.1268509187096740e-04
17 1 -14 3.7610531250000001e-01 7.6903569339582486e-04 3.7610393407724613e-01 7.6903977065077530e-04
18 1 -13 3.2576656250000002e-01 8.9720485309650530e-04 3.2576518407724614e-01 8.9720721927928875e-04
19 1 -12 2.9321906250000002e-01 9.9874665929412343e-04 2.9321768407724613e-01 9.9874956003171843e-04
20 1 -11 2.7216499999999999e-01 1.0804825842534438e-03 2.7216362157724611e-01 1.0804853541746520e-03
21 1 -10 2.5925593749999998e-01 1.1465064673885062e-03 2.5925455907724609e-01 1.1465061168312995e-03
22 1 -9 2.5325124999999998e-01 1.1861184041733566e-03 2.5324987157724610e-01 1.1861175971816485e-03
23 1 -8 2.5300906249999999e-01 1.1851591503417049e-03 2.5300768407724611e-01 1.1851546438699390e-03
24 1 -7 2.5917093749999998e-01 1.1449800451923484e-03 2.5916955907724609e-01 1.1449807154547617e-03
25 1 -6 2.7182468750000000e-01 1.0816598429170311e-03 2.7182330907724611e-01 1.0816691928762815e-03
26 1 -5 2.9319218749999998e-01 9.9863770858006715e-04 2.9319080907724610e-01 9.9864884515337522e-04
27 1 -4 3.2619468750000002e-01 8.9533818099185104e-04 3.2619330907724614e-01 8.9535280972034901e-04
28 1 -3 3.7636281249999998e-01 7.6869134898088168e-04 3.7636143407724609e-01 7.6870938835333551e-04
29 1 -2 4.5483249999999997e-01 6.1217600599214978e-04 4.5483112157724609e-01 6.1219239686081874e-04
30 1 -1 5.7131624999999997e-01 4.3925536924009281e-04 5.7131487157724603e-01 4.3927734441179044e-04
31 1 0 5.7127656250000003e-01 4.3974553804719909e-04 5.7127518407724609e-01 4.3975411016925262e-04
32 2 -15 3.7611250000000002e-01 7.6999622868394603e-04 3.7611112157724613e-01 7.6999609452648571e-04
33 2 -14 3.3186062500000002e-01 8.7940598502181410e-04 3.3185924657724614e-01 8.7940646045168991e-04
