# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -15 5.8249843749999997e-01 9.9837949741048756e-04 5.8249522276306154e-01 9.9875174784986708e-04
1 0 -14 4.4461250000000002e-01 1.4997802000418254e-03 4.4460928526306154e-01 1.5002415495643155e-03
2 0 -13 3.7434843750000002e-01 1.8614245604609146e-03 3.7434522276306154e-01 1.8618204493089049e-03
3 0 -12 3.3157500000000001e-01 2.1384971595871946e-03 3.3157178526306152e-01 2.1388713025811195e-03
4 0 -11 3.0497187500000000e-01 2.3628041551482719e-03 3.0496866026306152e-01 2.3631651233396861e-03
5 0 -10 2.8819531250000002e-01 2.5419369294440576e-03 2.8819209776306154e-01 2.5423262798285385e-03
6 0 -9 2.7875624999999998e-01 2.6655147610557795e-03 2.7875303526306150e-01 2.6659278005024727e-03
7 0 -8 2.7615468750000000e-01 2.7343926731125297e-03 2.7615147276306151e-01 2.7347954781663467e-03
8 0 -7 2.7875624999999998e-01 2.6655147610557795e-03 2.7875303526306150e-01 2.6659278005024727e-03
9 0 -6 2.8819531250000002e-01 2.5419369294440576e-03 2.8819209776306154e-01 2.5423262798285385e-03
10 0 -5 3.0497187500000000e-01 2.3628041551482719e-03 3.0496866026306152e-01 2.3631651233396861e-03
11 0 -4 3.3157500000000001e-01 2.1384971595871946e-03 3.3157178526306152e-01 2.1388713025811195e-03
12 0 -3 3.7434843750000002e-01 1.8614245604609146e-03 3.7434522276306154e-01 1.8618204493089049e-03
13 0 -2 4.4461250000000002e-01 1.4997802000418254e-03 4.4460928526306154e-01 1.5002415495643155e-03
14 0 -1 5.8249843749999997e-01 9.9837949741048756e-04 5.8249522276306154e-01 9.9875174784986708e-04
15 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9999678526306157e-01 2.0164935155656354e-05
16 1 -15 4.7053750000000000e-01 1.3898603290888618e-03 4.7053428526306151e-01 1.3902368967389101e-03
17 1 -14 3.9501874999999997e-01 1.7428475946798248e-03 3.9501553526306149e-01 1.7432670716965287e-03
18 1 -13 3.4680312499999999e-01 2.0284681602501030e-03 3.4679991026306151e-01 2.0288783401486488e-03
19 1 -12 3.1515312499999998e-01 2.2637749340754789e-03 3.1514991026306149e-01 2.2641277691198545e-03
20 1 -11 2.9525468750000000e-01 2.4573905307172859e-03 2.9525147276306152e-01 2.4578040506373824e-03
21 1 -10 2.8268593749999998e-01 2.5959001554265062e-03 2.8268272276306150e-01 2.5963264218841499e-03
22 1 -9 2.7618593749999998e-01 2.6829369838165897e-03 2.7618272276306149e-01 2.6833467687936989e-03
23 1 -8 2.7611406249999998e-01 2.6869169803197977e-03 2.7611084776306150e-01 2.6873021787855176e-03
24 1 -7 2.8169062499999997e-01 2.6049888508563601e-03 2.8168741026306149e-01 2.6053574044422627e-03
25 1 -6 2.9398750000000001e-01 2.4599697946570396e-03 2.9398428526306153e-01 2.4603487260084337e-03
26 1 -5 3.1441249999999998e-01 2.2737473921095545e-03 3.1440928526306150e-01 2.2741258327551028e-03
27 1 -4 3.4600781250000001e-01 2.0370830894756685e-03 3.4600459776306153e-01 2.0374386099896694e-03
28 1 -3 3.9410624999999999e-01 1.7451184717573623e-03 3.9410303526306151e-01 1.7455397577309031e-03
29 1 -2 4.7003750000000000e-01 1.3913271598100141e-03 4.7003428526306151e-01 1.3916265197033519e-03
30 1 -1 5.8265624999999999e-01 9.9684928454293106e-04 5.8265303526306156e-01 9.9720985423492649e-04
31 1 0 5.8294062499999999e-01 9.9825302433097620e-04 5.8293741026306156e-01 9.9859782362407361e-04
32 2 -15 3.9517187500000001e-01 1.7433391583104065e-03 3.9516866026306152e-01 1.7437210979923275e-03
33 2 -14 3.5307968750000002e-01 1.9876681065280951e-03 3.5307647276306153e-01 1.9880732954288484e-03
34 2 -13 3.2149687500000002e-01 2.2031230848839189e-03 3.2149366026306153e-01 2.2035464061827595e-03
35 2 -12 2.9963593750000000e-01 2.3924986382714746e-03 2.9963272276306152e-01 2.3929074006362422e-03
36 2 -11 2.8564062499999998e-01 2.5308604976170533e-03 2.8563741026306150e-01 2.5312714576980725e-03
37 2 -10 2.7736562500000000e-01 2.6271865801934277e-03 2.7736241026306152e-01 2.6275890963142869e-03
38 2 -9 2.7371718750000001e-01 2.6653954674311902e-03 2.7371397276306153e-01 2.6657708475852173e-03
39 2 -8 2.7612031250000002e-01 2.6348351795859992e-03 2.7611709776306154e-01 2.6352113720726471e-03
40 2 -7 2.8413593749999999e-01 2.5408622751574633e-03 2.8413272276306151e-01 2.5411842590160865e-03
41 2 -6 2.9799218750000001e-01 2.4030304544450185e-03 2.9798897276306152e-01 2.4033936873540354e-03
42 2 -5 3.1975156249999998e-01 2.2190707910152642e-03 3.1974834776306149e-01 2.2194512306113446e-03
43 2 -4 3.5120937499999999e-01 1.9948094831395398e-03 3.5120616026306151e-01 1.9952276849707724e-03
44 2 -3 3.9417968749999999e-01 1.7450092321987828e-03 3.9417647276306150e-01 1.7453567436457071e-03
45 2 -2 4.4358437499999998e-01 1.5027088791864970e-03 4.4358116026306149e-01 1.5030377113976077e-03
46 2 -1 4.6926250000000003e-01 1.3878388887943720e-03 4.6925928526306154e-01 1.3882351762297173e-03
47 2 0 4.4407031250000001e-01 1.4969033771285920e-03 4.4406709776306152e-01 1.4972234002260680e-03
48 3 -15 3.4668281249999999e-01 2.0292518339563559e-03 3.4667959776306151e-01 2.0295723413004223e-03
49 3 -14 3.2099843750000001e-01 2.2064396208682233e-03 3.2099522276306153e-01 2.2068111722929424e-03
50 3 -13 3.0104843749999999e-01 2.3620047306074790e-03 3.0104522276306150e-01 2.3623927767352638e-03
51 3 -12 2.8727031250000001e-01 2.4957945287691417e-03 2.8726709776306153e-01 2.4962092601000948e-03
52 3 -11 2.7791093750000001e-01 2.5843666504834135e-03 2.7790772276306153e-01 2.5847407389118842e-03
53 3 -10 2.7284218750000000e-01 2.6350864085671337e-03 2.7283897276306152e-01 2.6354838706509742e-03
54 3 -9 2.7191874999999999e-01 2.6443684272253461e-03 2.7191553526306150e-01 2.6447359275078713e-03
55 3 -8 2.7624062500000002e-01 2.5952584828439411e-03 2.7623741026306153e-01 2.5956087824891370e-03
56 3 -7 2.8521718750000002e-01 2.5072143698216618e-03 2.8521397276306154e-01 2.5076154154828156e-03
57 3 -6 2.9999687500000000e-01 2.3808556511968420e-03 2.9999366026306151e-01 2.3811981141759740e-03
58 3 -5 3.1956875000000001e-01 2.2237242559288348e-03 3.1956553526306153e-01 2.2241559832504539e-03
59 3 -4 3.4548750000000000e-01 2.0381687131160167e-03 3.4548428526306152e-01 2.0385707081640491e-03
60 3 -3 3.7321562500000000e-01 1.8638402159482281e-03 3.7321241026306151e-01 1.8641875420874277e-03
61 3 -2 3.9326406250000001e-01 1.7496272816676865e-03 3.9326084776306153e-01 1.7499393612036775e-03
62 3 -1 3.9318124999999998e-01 1.7457372401706820e-03 3.9317803526306150e-01 1.7460189700974561e-03
63 3 0 3.7442500000000001e-01 1.8551570182871319e-03 3.7442178526306152e-01 1.8554268507519540e-03
64 4 -15 3.1500624999999999e-01 2.2657503835994933e-03 3.1500303526306150e-01 2.2661770130579279e-03
65 4 -14 2.9930625000000000e-01 2.3890455803848220e-03 2.9930303526306151e-01 2.3893960463680585e-03
66 4 -13 2.8680156250000000e-01 2.4891898209255976e-03 2.8679834776306151e-01 2.4895481046238797e-03
67 4 -12 2.7788125000000002e-01 2.5682239645387723e-03 2.7787803526306154e-01 2.5685875752510120e-03
68 4 -11 2.7176250000000002e-01 2.6247149592265252e-03 2.7175928526306153e-01 2.6250588967456933e-03
69 4 -10 2.6902812500000001e-01 2.6537937317919862e-03 2.6902491026306152e-01 2.6541763869177702e-03
70 4 -9 2.7065000000000000e-01 2.6371934685617965e-03 2.7064678526306152e-01 2.6375595959972514e-03
71 4 -8 2.7582812499999998e-01 2.5972105632699363e-03 2.7582491026306150e-01 2.5975907822861177e-03
72 4 -7 2.8470781249999999e-01 2.5126609396818218e-03 2.8470459776306151e-01 2.5130482470100157e-03
73 4 -6 2.9725156250000001e-01 2.4030036908080500e-03 2.9724834776306153e-01 2.4034016632076094e-03
74 4 -5 3.1311406250000001e-01 2.2802264158561882e-03 3.1311084776306153e-01 2.2806205722594869e-03
75 4 -4 3.3021562500000001e-01 2.1515046150074684e-03 3.3021241026306153e-01 2.1518883673627182e-03
76 4 -3 3.4489062500000001e-01 2.0439941021559815e-03 3.4488741026306152e-01 2.0443614855261733e-03
77 4 -2 3.5111406249999999e-01 1.9973723969113422e-03 3.5111084776306151e-01 1.9976455713816830e-03
78 4 -1 3.4599374999999999e-01 2.0321607275646898e-03 3.4599053526306150e-01 2.0324559139732329e-03
79 4 0 3.3223750000000002e-01 2.1425751026072572e-03 3.3223428526306154e-01 2.1429041943548978e-03
80 5 -15 2.9477968750000000e-01 2.4558827909651926e-03 2.9477647276306151e-01 2.4562469821637722e-03
81 5 -14 2.8472187500000001e-01 2.5340042266930882e-03 2.8471866026306153e-01 2.5343686684164445e-03
82 5 -13 2.7737031249999999e-01 2.5897561830501500e-03 2.7736709776306151e-01 2.5901169465296615e-03
83 5 -12 2.7181250000000001e-01 2.6294678495610096e-03 2.7180928526306153e-01 2.6298608992215474e-03
84 5 -11 2.6830312499999998e-01 2.6501410544343554e-03 2.6829991026306149e-01 2.6505274677400461e-03
