# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -7 5.0633750000000000e-01 2.5390571023019559e-03 5.0624243749999998e-01 2.5456287057142586e-03
1 0 -6 3.5641250000000002e-01 3.6335409339582230e-03 3.5631743750000000e-01 3.6397694842601057e-03
2 0 -5 2.9813750000000000e-01 4.3307577245500590e-03 2.9804243749999998e-01 4.3358756410592043e-03
3 0 -4 2.8005000000000002e-01 4.7354737883341718e-03 2.7995493750000000e-01 4.7396381566805991e-03
4 0 -3 2.9813750000000000e-01 4.3307577245500590e-03 2.9804243749999998e-01 4.3358756410592043e-03
5 0 -2 3.5641250000000002e-01 3.6335409339582230e-03 3.5631743750000000e-01 3.6397694842601057e-03
6 0 -1 5.0633750000000000e-01 2.5390571023019559e-03 5.0624243749999998e-01 2.5456287057142586e-03
7 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9990493749999998e-01 1.6047642664748682e-04
8 1 -7 3.8285000000000002e-01 3.4184500142608490e-03 3.8275493750000000e-01 3.4247694705659402e-03
9 1 -6 3.1280000000000002e-01 4.0971767108583445e-03 3.1270493750000000e-01 4.1014282454421222e-03
10 1 -5 2.8337499999999999e-01 4.4936451656756348e-03 2.8327993749999997e-01 4.4982704735649281e-03
11 1 -4 2.8249999999999997e-01 4.5000000000000005e-03 2.8240493749999995e-01 4.5046894338180918e-03
12 1 -3 3.1391249999999998e-01 4.0345857555330262e-03 3.1381743749999996e-01 4.0405758947756332e-03
13 1 -2 3.8350000000000001e-01 3.3642309671008020e-03 3.8340493749999999e-01 3.3703397122058550e-03
14 1 -1 5.0637500000000002e-01 2.5217795056269288e-03 5.0627993750000000e-01 2.5281884661089164e-03
15 1 0 5.0737500000000002e-01 2.5159609247760581e-03 5.0727993750000000e-01 2.5236610641130486e-03
16 2 -7 3.1226250000000000e-01 4.1073662447790064e-03 3.1216743749999998e-01 4.1122027206718101e-03
17 2 -6 2.8307500000000002e-01 4.4072336987048917e-03 2.8297993750000000e-01 4.4109546624875413e-03
18 2 -5 2.7406249999999999e-01 4.4722735234721499e-03 2.7396743749999997e-01 4.4763480348068083e-03
19 2 -4 2.8567500000000001e-01 4.3376429515348544e-03 2.8557993749999999e-01 4.3426375416746555e-03
20 2 -3 3.1601249999999997e-01 4.0296403336712331e-03 3.1591743749999995e-01 4.0351949084966934e-03
21 2 -2 3.6078749999999998e-01 3.6115363377308002e-03 3.6069243749999996e-01 3.6178389706500026e-03
22 2 -1 3.8437500000000002e-01 3.3816947489387619e-03 3.8427993750000000e-01 3.3872055235647548e-03
23 2 0 3.5698750000000001e-01 3.6402202843715376e-03 3.5689243749999999e-01 3.6463857845959909e-03
24 3 -7 2.8070000000000001e-01 4.5213316069494395e-03 2.8060493749999998e-01 4.5260254260516492e-03
25 3 -6 2.7306249999999999e-01 4.4986490159546789e-03 2.7296743749999997e-01 4.5027848228186111e-03
26 3 -5 2.7639999999999998e-01 4.4611148270359505e-03 2.7630493749999996e-01 4.4655278255311022e-03
27 3 -4 2.8703750000000000e-01 4.4498793206951132e-03 2.8694243749999998e-01 4.4543678191869039e-03
28 3 -3 3.0320000000000003e-01 4.2821083592081135e-03 3.0310493750000000e-01 4.2868150650456696e-03
29 3 -2 3.1685000000000002e-01 4.0617456838162574e-03 3.1675493750000000e-01 4.0664861276483097e-03
30 3 -1 3.1254999999999999e-01 4.0767250336513992e-03 3.1245493749999997e-01 4.0821990777697862e-03
31 3 0 2.9893750000000002e-01 4.3035151874659386e-03 2.9884243750000000e-01 4.3082470769171353e-03
32 4 -7 2.8033750000000002e-01 4.5057070442661934e-03 2.8024243750000000e-01 4.5101437812905334e-03
33 4 -6 2.8473749999999998e-01 4.3620600028828121e-03 2.8464243749999996e-01 4.3660842518743123e-03
