# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -7 5.1917500000000005e-01 1.8040182752677419e-03 5.1915645621093753e-01 1.8046258659217375e-03
1 0 -6 3.7446249999999998e-01 2.5935712317912154e-03 3.7444395621093746e-01 2.5939982691426475e-03
2 0 -5 3.1789374999999997e-01 3.0751938652048838e-03 3.1787520621093746e-01 3.0757678499772154e-03
3 0 -4 3.0217500000000003e-01 3.3358674003173445e-03 3.0215645621093751e-01 3.3364980771286717e-03
4 0 -3 3.1789374999999997e-01 3.0751938652048838e-03 3.1787520621093746e-01 3.0757678499772154e-03
5 0 -2 3.7446249999999998e-01 2.5935712317912154e-03 3.7444395621093746e-01 2.5939982691426475e-03
6 0 -1 5.1917500000000005e-01 1.8040182752677419e-03 5.1915645621093753e-01 1.8046258659217375e-03
7 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9998145621093748e-01 5.1400462514738988e-05
8 1 -7 3.9968124999999999e-01 2.4209013357309197e-03 3.9966270621093747e-01 2.4214753330105833e-03
9 1 -6 3.3120624999999998e-01 2.9082130137927913e-03 3.3118770621093746e-01 2.9087313183298589e-03
10 1 -5 3.0355625000000003e-01 3.1940632423441066e-03 3.0353770621093751e-01 3.1946329890440565e-03
11 1 -4 3.0446250000000002e-01 3.1833344129033945e-03 3.0444395621093751e-01 3.1839027757687905e-03
12 1 -3 3.3206875000000002e-01 2.9155743156098332e-03 3.3205020621093750e-01 2.9162064548288276e-03
13 1 -2 3.9948750000000000e-01 2.4124589342359795e-03 3.9946895621093748e-01 2.4130777665554519e-03
14 1 -1 5.1949999999999996e-01 1.8069155348272384e-03 5.1948145621093744e-01 1.8075297374039302e-03
15 1 0 5.2049374999999998e-01 1.8024702656614759e-03 5.2047520621093746e-01 1.8033059874827482e-03
16 2 -7 3.3155625000000000e-01 2.9188996207635764e-03 3.3153770621093748e-01 2.9194599481852141e-03
17 2 -6 3.0481249999999999e-01 3.1250419372186033e-03 3.0479395621093747e-01 3.1254717919224238e-03
18 2 -5 2.9466874999999998e-01 3.1981014821052429e-03 2.9465020621093746e-01 3.1984376007572501e-03
19 2 -4 3.0325625000000000e-01 3.1340759198037545e-03 3.0323770621093749e-01 3.1345179656658210e-03
20 2 -3 3.3205625000000000e-01 2.9095340041136743e-03 3.3203770621093748e-01 2.9100805250211253e-03
21 2 -2 3.7626874999999999e-01 2.5983835051515687e-03 3.7625020621093747e-01 2.5989308873154847e-03
22 2 -1 4.0048750000000000e-01 2.4259581837647163e-03 4.0046895621093748e-01 2.4265461040185849e-03
23 2 0 3.7556875000000001e-01 2.5969496221227989e-03 3.7555020621093749e-01 2.5974879235336110e-03
24 3 -7 3.0111250000000001e-01 3.2329240803605332e-03 3.0109395621093749e-01 3.2334472550154644e-03
25 3 -6 2.9454374999999999e-01 3.2091275287987153e-03 2.9452520621093747e-01 3.2095169231800462e-03
26 3 -5 2.9389375000000001e-01 3.2023474489183321e-03 2.9387520621093749e-01 3.2028740268694807e-03
27 3 -4 3.0386875000000002e-01 3.2110665813470372e-03 3.0385020621093750e-01 3.2114958731631073e-03
28 3 -3 3.1883125000000001e-01 3.0867179114463551e-03 3.1881270621093749e-01 3.0872820627248043e-03
29 3 -2 3.3208749999999998e-01 2.9188490641646756e-03 3.3206895621093746e-01 2.9194207331706000e-03
30 3 -1 3.3173124999999998e-01 2.9188383759372071e-03 3.3171270621093746e-01 2.9192017768258200e-03
31 3 0 3.1746249999999998e-01 3.1084999170620867e-03 3.1744395621093746e-01 3.1089458337767856e-03
32 4 -7 3.0097499999999999e-01 3.2296718002763070e-03 3.0095645621093747e-01 3.2300437970525244e-03
33 4 -6 3.0336875000000002e-01 3.1311536156572949e-03 3.0335020621093750e-01 3.1316719406173760e-03
34 4 -5 3.0302499999999999e-01 3.2102385912109403e-03 3.0300645621093747e-01 3.2108141698679541e-03
35 4 -4 3.0521250000000000e-01 3.3632088263108196e-03 3.0519395621093748e-01 3.3636695077113353e-03
36 4 -3 3.0302499999999999e-01 3.2102385912109403e-03 3.0300645621093747e-01 3.2108141698679541e-03
37 4 -2 3.0336875000000002e-01 3.1311536156572949e-03 3.0335020621093750e-01 3.1316719406173760e-03
38 4 -1 3.0097499999999999e-01 3.2296718002763070e-03 3.0095645621093747e-01 3.2300437970525244e-03
39 4 0 2.9959999999999998e-01 3.3979772843560920e-03 2.9958145621093746e-01 3.3985358664692478e-03
40 5 -7 3.3173124999999998e-01 2.9188383759372071e-03 3.3171270621093746e-01 2.9192017768258200e-03
41 5 -6 3.3208749999999998e-01 2.9188490641646756e-03 3.3206895621093746e-01 2.9194207331706000e-03
