# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -7 5.0827624999999999e-01 8.0460806372963328e-04 5.0822989092343751e-01 8.0493502018847015e-04
1 0 -6 3.5954000000000003e-01 1.1552642091746804e-03 3.5949364092343755e-01 1.1553625118474304e-03
2 0 -5 3.0040250000000002e-01 1.3783236684012212e-03 3.0035614092343754e-01 1.3783690872344395e-03
3 0 -4 2.8449000000000002e-01 1.5003601810898606e-03 2.8444364092343755e-01 1.5004272284903065e-03
4 0 -3 3.0040250000000002e-01 1.3783236684012212e-03 3.0035614092343754e-01 1.3783690872344395e-03
5 0 -2 3.5954000000000003e-01 1.1552642091746804e-03 3.5949364092343755e-01 1.1553625118474304e-03
6 0 -1 5.0827624999999999e-01 8.0460806372963328e-04 5.0822989092343751e-01 8.0493502018847015e-04
7 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9995364092343753e-01 3.5526339137196453e-05
8 1 -7 3.8459250000000000e-01 1.0770940320487346e-03 3.8454614092343753e-01 1.0772019803969679e-03
9 1 -6 3.1542750000000003e-01 1.2936143049127895e-03 3.1538114092343755e-01 1.2937116901551797e-03
10 1 -5 2.8584625000000002e-01 1.4248879305821739e-03 2.8579989092343755e-01 1.4249250965222523e-03
11 1 -4 2.8528999999999999e-01 1.4262511412791229e-03 2.8524364092343751e-01 1.4263088553336425e-03
12 1 -3 3.1508000000000003e-01 1.2935952794440771e-03 3.1503364092343755e-01 1.2936729358399258e-03
13 1 -2 3.8467249999999997e-01 1.0781729823525540e-03 3.8462614092343750e-01 1.0783263268329289e-03
14 1 -1 5.0775375000000000e-01 8.0704268766822347e-04 5.0770739092343753e-01 8.0749668042312181e-04
15 1 0 5.0789125000000002e-01 8.0601442354882858e-04 5.0784489092343754e-01 8.0643063171263339e-04
16 2 -7 3.1477749999999999e-01 1.2941669656095383e-03 3.1473114092343751e-01 1.2942306683392422e-03
17 2 -6 2.8659499999999999e-01 1.3862913184103838e-03 2.8654864092343751e-01 1.3863904965005700e-03
18 2 -5 2.7759000000000000e-01 1.4191659832450889e-03 2.7754364092343753e-01 1.4191927151847917e-03
19 2 -4 2.8639124999999999e-01 1.3879006542143967e-03 2.8634489092343751e-01 1.3879136482711600e-03
