# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -7 5.2129999999999999e-01 1.8072180969656106e-03 5.2129428491210938e-01 1.8077215287671173e-03
1 0 -6 3.7737500000000002e-01 2.5853520674175112e-03 3.7736928491210942e-01 2.5856648310815990e-03
2 0 -5 3.2027499999999998e-01 3.0635154336970463e-03 3.2026928491210938e-01 3.0639074783362112e-03
3 0 -4 3.0511874999999999e-01 3.3172932531423493e-03 3.0511303491210939e-01 3.3176265570902469e-03
4 0 -3 3.2027499999999998e-01 3.0635154336970463e-03 3.2026928491210938e-01 3.0639074783362112e-03
5 0 -2 3.7737500000000002e-01 2.5853520674175112e-03 3.7736928491210942e-01 2.5856648310815990e-03
6 0 -1 5.2129999999999999e-01 1.8072180969656106e-03 5.2129428491210938e-01 1.8077215287671173e-03
7 0 0 1.0000000000000000e+00 0.0000000000000000e+00 9.9999428491210940e-01 2.8573944772487734e-05
8 1 -7 4.0178750000000002e-01 2.4137870627656864e-03 4.0178178491210942e-01 2.4142160556905714e-03
9 1 -6 3.3353125000000000e-01 2.8933698285638753e-03 3.3352553491210940e-01 2.8936937322971827e-03
10 1 -5 3.0592500000000000e-01 3.1786723938619409e-03 3.0591928491210940e-01 3.1790188696189004e-03
11 1 -4 3.0554375000000000e-01 3.1711783292797885e-03 3.0553803491210940e-01 3.1715312621028247e-03
12 1 -3 3.3428750000000002e-01 2.9018769545545863e-03 3.3428178491210941e-01 2.9022390080632853e-03
13 1 -2 4.0214375000000002e-01 2.4305898453037579e-03 4.0213803491210942e-01 2.4309479551917531e-03
14 1 -1 5.2145624999999995e-01 1.8126772661159938e-03 5.2145053491210935e-01 1.8130531989717388e-03
15 1 0 5.2075000000000005e-01 1.8135100633853659e-03 5.2074428491210945e-01 1.8140994402430408e-03
16 2 -7 3.3199374999999998e-01 2.9059756853067010e-03 3.3198803491210938e-01 2.9064277623045052e-03
17 2 -6 3.0404999999999999e-01 3.1194401140268745e-03 3.0404428491210939e-01 3.1198196874338449e-03
18 2 -5 2.9552499999999998e-01 3.1982926011389265e-03 2.9551928491210938e-01 3.1986838443280857e-03
19 2 -4 3.0414374999999999e-01 3.1174925013692898e-03 3.0413803491210939e-01 3.1179042596015073e-03
20 2 -3 3.3258749999999998e-01 2.9082924301684311e-03 3.3258178491210938e-01 2.9088329080759895e-03
21 2 -2 3.7717499999999998e-01 2.5992628883012201e-03 3.7716928491210938e-01 2.5998472940388594e-03
22 2 -1 4.0048750000000000e-01 2.4252334906921850e-03 4.0048178491210940e-01 2.4258302711098888e-03
23 2 0 3.7535625000000000e-01 2.5966976857335071e-03 3.7535053491210940e-01 2.5972104499459325e-03
24 3 -7 3.0171874999999998e-01 3.2052900457437156e-03 3.0171303491210938e-01 3.2057880369131993e-03
25 3 -6 2.9398750000000001e-01 3.1994790567176712e-03 2.9398178491210941e-01 3.1999101176560783e-03
26 3 -5 2.9502499999999998e-01 3.1985729142072093e-03 2.9501928491210938e-01 3.1990520203792846e-03
27 3 -4 3.0387500000000001e-01 3.1919182614064544e-03 3.0386928491210941e-01 3.1924148435547276e-03
28 3 -3 3.1935625000000001e-01 3.0835796156567369e-03 3.1935053491210941e-01 3.0840755878295666e-03
29 3 -2 3.3261875000000002e-01 2.9035458111322694e-03 3.3261303491210942e-01 2.9041488171439966e-03
30 3 -1 3.3131875000000000e-01 2.9239073005729423e-03 3.3131303491210939e-01 2.9245081264497549e-03
31 3 0 3.1717499999999998e-01 3.0860196957407777e-03 3.1716928491210938e-01 3.0865810238913027e-03
32 4 -7 3.0130000000000001e-01 3.2099994742990222e-03 3.0129428491210941e-01 3.2105595398965667e-03
33 4 -6 3.0293750000000003e-01 3.1375492401514594e-03 3.0293178491210943e-01 3.1380898204397619e-03
34 4 -5 3.0399999999999999e-01 3.1937869371640934e-03 3.0399428491210939e-01 3.1942915318448934e-03
35 4 -4 3.0389375000000002e-01 3.3445582381823984e-03 3.0388803491210942e-01 3.3450079371680650e-03
36 4 -3 3.0399999999999999e-01 3.1937869371640934e-03 3.0399428491210939e-01 3.1942915318448934e-03
37 4 -2 3.0293750000000003e-01 3.1375492401514594e-03 3.0293178491210943e-01 3.1380898204397619e-03
38 4 -1 3.0130000000000001e-01 3.2099994742990222e-03 3.0129428491210941e-01 3.2105595398965667e-03
39 4 0 3.0001875000000000e-01 3.3665530817653462e-03 3.0001303491210940e-01 3.3671700539974342e-03
40 5 -7 3.3131875000000000e-01 2.9239073005729423e-03 3.3131303491210939e-01 2.9245081264497549e-03
41 5 -6 3.3261875000000002e-01 2.9035458111322694e-03 3.3261303491210942e-01 2.9041488171439966e-03
42 5 -5 3.1935625000000001e-01 3.0835796156567369e-03 3.1935053491210941e-01 3.0840755878295666e-03
43 5 -4 3.0387500000000001e-01 3.1919182614064544e-03 3.0386928491210941e-01 3.1924148435547276e-03
44 5 -3 2.9502499999999998e-01 3.1985729142072093e-03 2.9501928491210938e-01 3.1990520203792846e-03
45 5 -2 2.9398750000000001e-01 3.1994790567176712e-03 2.9398178491210941e-01 3.1999101176560783e-03
46 5 -1 3.0171874999999998e-01 3.2052900457437156e-03 3.0171303491210938e-01 3.2057880369131993e-03
47 5 0 3.1717499999999998e-01 3.0860196957407777e-03 3.1716928491210938e-01 3.0865810238913027e-03
48 6 -7 4.0048750000000000e-01 2.4252334906921850e-03 4.0048178491210940e-01 2.4258302711098888e-03
49 6 -6 3.7717499999999998e-01 2.5992628883012201e-03 3.7716928491210938e-01 2.5998472940388594e-03
50 6 -5 3.3258749999999998e-01 2.9082924301684311e-03 3.3258178491210938e-01 2.9088329080759895e-03
51 6 -4 3.0414374999999999e-01 3.1174925013692898e-03 3.0413803491210939e-01 3.1179042596015073e-03
52 6 -3 2.9552499999999998e-01 3.1982926011389265e-03 2.9551928491210938e-01 3.1986838443280857e-03
53 6 -2 3.0404999999999999e-01 3.1194401140268745e-03 3.0404428491210939e-01 3.1198196874338449e-03
54 6 -1 3.3199374999999998e-01 2.9059756853067010e-03 3.3198803491210938e-01 2.9064277623045052e-03
55 6 0 3.7535625000000000e-01 2.5966976857335071e-03 3.7535053491210940e-01 2.5972104499459325e-03
56 7 -7 5.2145624999999995e-01 1.8126772661159938e-03 5.2145053491210935e-01 1.8130531989717388e-03
57 7 -6 4.0214375000000002e-01 2.4305898453037579e-03 4.0213803491210942e-01 2.4309479551917531e-03
58 7 -5 3.3428750000000002e-01 2.9018769545545863e-03 3.3428178491210941e-01 2.9022390080632853e-03
59 7 -4 3.0554375000000000e-01 3.1711783292797885e-03 3.0553803491210940e-01 3.1715312621028247e-03
60 7 -3 3.0592500000000000e-01 3.1786723938619409e-03 3.0591928491210940e-01 3.1790188696189004e-03
61 7 -2 3.3353125000000000e-01 2.8933698285638753e-03 3.3352553491210940e-01 2.8936937322971827e-03
62 7 -1 4.0178750000000002e-01 2.4137870627656864e-03 4.0178178491210942e-01 2.4142160556905714e-03
63 7 0 5.2075000000000005e-01 1.8135100633853659e-03 5.2074428491210945e-01 1.8140994402430408e-03
