# Equal-time spatial all-to-all average over all time slices.
# d m n corr err corr_conn err_conn
0 0 -31 6.0658320312500003e-01 5.2714015732832989e-04 6.0658100381282809e-01 5.2740457339053230e-04
1 0 -30 4.7302968750000002e-01 8.2254871967576092e-04 4.7302748818782808e-01 8.2280995452740176e-04
2 0 -29 4.0127382812500001e-01 1.0422361650507148e-03 4.0127162881282807e-01 1.0425010478687781e-03
3 0 -28 3.5387070312500002e-01 1.2231268670381183e-03 3.5386850381282808e-01 1.2234415940755969e-03
4 0 -27 3.1928046874999999e-01 1.3784243571683791e-03 3.1927826943782806e-01 1.3787616885073220e-03
5 0 -26 2.9296406250000001e-01 1.5151730955641613e-03 2.9296186318782808e-01 1.5155281032990754e-03
6 0 -25 2.7226523437500000e-01 1.6369440850208478e-03 2.7226303506282806e-01 1.6373113068150450e-03
7 0 -24 2.5618281250000002e-01 1.7406716991182818e-03 2.5618061318782809e-01 1.7410598790351750e-03
8 0 -23 2.4340624999999999e-01 1.8388333445007070e-03 2.4340405068782806e-01 1.8392306324954992e-03
9 0 -22 2.3312773437500001e-01 1.9244845198070387e-03 2.3312553506282807e-01 1.9248817881846337e-03
10 0 -21 2.2494843749999999e-01 1.9995748700382971e-03 2.2494623818782805e-01 1.9999688284415666e-03
11 0 -20 2.1865195312499999e-01 2.0693392722771326e-03 2.1864975381282806e-01 2.0697293989530687e-03
12 0 -19 2.1403710937500001e-01 2.1285915255288179e-03 2.1403491006282807e-01 2.1290008197233749e-03
13 0 -18 2.1064882812499999e-01 2.1820282566013698e-03 2.1064662881282806e-01 2.1824270825411122e-03
14 0 -17 2.0862500000000000e-01 2.2193455324228256e-03 2.0862280068782807e-01 2.2197599075993463e-03
15 0 -16 2.0766992187500000e-01 2.2402975374398722e-03 2.0766772256282806e-01 2.2407171221297552e-03
16 0 -15 2.0862500000000000e-01 2.2193455324228256e-03 2.0862280068782807e-01 2.2197599075993463e-03
17 0 -14 2.1064882812499999e-01 2.1820282566013698e-03 2.1064662881282806e-01 2.1824270825411122e-03
18 0 -13 2.1403710937500001e-01 2.1285915255288179e-03 2.1403491006282807e-01 2.1290008197233749e-03
19 0 -12 2.1865195312499999e-01 2.0693392722771326e-03 2.1864975381282806e-01 2.0697293989530687e-03
20 0 -11 2.2494843749999999e-01 1.9995748700382971e-03 2.2494623818782805e-01 1.9999688284415666e-03
