r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
2.8216696919	4.4123460860	0.1661172921	0.7943440697	0.1038150310	0.7611196846	1.0158307535	1.3646422155	0.9585238579	1.0000000000	0.9036303350	0.9585238579	0.9036303350	0.0052071804	0.0000000000	-0.0013119888	0.0052071804	-0.0013119888	0.0000271147	0.0000000000	0.0000017213	0.0000271147	0.0000017213	0.0000288360	0.0000288360	0.0000576721
2.8216696919	5.8831281147	0.1248371715	0.6891242345	0.0900884545	0.6670254838	1.0829807214	1.3915864484	0.9290483241	1.0000000000	0.8868462285	0.9290483241	0.8868462285	-0.0260265178	0.0000000000	-0.0200607382	-0.0260265178	-0.0200607382	0.0006773796	0.0000000000	0.0004024332	0.0006773796	0.0004024332	0.0010798128	0.0010798128	0.0021596257
2.8216696919	7.3539101433	0.0986273787	0.6128185917	0.0801268885	0.5970895693	1.1332789856	1.4112240987	0.9042233562	1.0000000000	0.8707024874	0.9042233562	0.8707024874	-0.0531108673	0.0000000000	-0.0384320014	-0.0531108673	-0.0384320014	0.0028207642	0.0000000000	0.0014770187	0.0028207642	0.0014770187	0.0042977830	0.0042977830	0.0085955659
2.8216696919	8.8246921720	0.0806616303	0.5543828345	0.0724947689	0.5426398510	1.1726406730	1.4263121297	0.8823495875	1.0000000000	0.8550978117	0.8823495875	0.8550978117	-0.0775989374	0.0000000000	-0.0565164820	-0.0775989374	-0.0565164820	0.0060215951	0.0000000000	0.0031941127	0.0060215951	0.0031941127	0.0092157078	0.0092157078	0.0184314157
2.8216696919	10.2954742007	0.0676664031	0.5078865573	0.0664201464	0.4988017727	1.2044458664	1.4383450144	0.8625229470	1.0000000000	0.8399789544	0.8625229470	0.8399789544	-0.1003255189	0.0000000000	-0.0743555068	-0.1003255189	-0.0743555068	0.0100652097	0.0000000000	0.0055287414	0.0100652097	0.0055287414	0.0155939511	0.0155939511	0.0311879023
3.7622262558	4.4123460860	0.1696927186	0.9101673224	0.0926888306	0.8312500633	0.9238712096	1.3864713807	0.9845738104	1.0000000000	0.9189178216	0.9845738104	0.9189178216	0.0320215952	0.0000000000	0.0154643528	0.0320215952	0.0154643528	0.0010253826	0.0000000000	0.0002391462	0.0010253826	0.0002391462	0.0012645288	0.0012645288	0.0025290575
3.7622262558	5.8831281147	0.1284509675	0.7895840059	0.0809863333	0.7360953074	0.9959700666	1.4095272796	0.9555208846	1.0000000000	0.9043248072	0.9555208846	0.9043248072	0.0020693480	0.0000000000	-0.0005437482	0.0020693480	-0.0005437482	0.0000042822	0.0000000000	0.0000002957	0.0000042822	0.0000002957	0.0000045779	0.0000045779	0.0000091557
3.7622262558	7.3539101433	0.1021029360	0.7026323357	0.0724041307	0.6639980103	1.0511031238	1.4264915195	0.9316215273	1.0000000000	0.8903771723	0.9316215273	0.8903771723	-0.0232606270	0.0000000000	-0.0160871820	-0.0232606270	-0.0160871820	0.0005410568	0.0000000000	0.0002587974	0.0005410568	0.0002587974	0.0007998542	0.0007998542	0.0015997084
3.7622262558	8.8246921720	0.0839398775	0.6362387382	0.0657758261	0.6070509057	1.0949192714	1.4396224765	0.9109403273	1.0000000000	0.8769373797	0.9109403273	0.8769373797	-0.0457098799	0.0000000000	-0.0312967571	-0.0457098799	-0.0312967571	0.0020893931	0.0000000000	0.0009794870	0.0020893931	0.0009794870	0.0030688801	0.0030688801	0.0061377603
3.7622262558	10.2954742007	0.0707347432	0.5834878570	0.0604662327	0.5606836908	1.1307514084	1.4501575544	0.8924504706	1.0000000000	0.8639284409	0.8924504706	0.8639284409	-0.0662162556	0.0000000000	-0.0462424017	-0.0662162556	-0.0462424017	0.0043845925	0.0000000000	0.0021383597	0.0043845925	0.0021383597	0.0065229522	0.0065229522	0.0130459045
