r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	0.8588573064	0.8588573064	0.8549280400	1.0000000000	0.9954250067	0.0022611703	0.0022611703	0.0142636621	0.0000000000	0.0120024917	0.0000051129	0.0000051129	0.0002034521	0.0000000000	0.0001440598	0.0002136778	0.0001440598	0.0003577376
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.8583321545	0.8586843872	0.8543127635	0.9995897996	0.9949089285	0.0016495291	0.0020598136	0.0135437208	-0.0004102845	0.0114839072	0.0000027209	0.0000042428	0.0001834324	0.0000001683	0.0001318801	0.0001903962	0.0001320485	0.0003224446
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.8578061417	0.8585133900	0.8537017959	0.9991761942	0.9943954349	0.0010365099	0.0018606553	0.0128283081	-0.0008241453	0.0109676528	0.0000010744	0.0000034620	0.0001645655	0.0000006792	0.0001202894	0.0001691019	0.0001209686	0.0002900705
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.8572793076	0.8583442427	0.8530949631	0.9987593147	0.9938844122	0.0004221567	0.0016636123	0.0121172301	-0.0012414556	0.0104536178	0.0000001782	0.0000027676	0.0001468273	0.0000015412	0.0001092781	0.0001497731	0.0001108193	0.0002605924
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.8567516900	0.8581768764	0.8524920985	0.9983392860	0.9933757503	-0.0001934887	0.0014686059	0.0114103009	-0.0016620945	0.0099416950	0.0000000374	0.0000021568	0.0001301950	0.0000027626	0.0000988373	0.0001323892	0.0001015999	0.0002339891
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.8562233254	0.8580112260	0.8518930424	0.9979162270	0.9928693432	-0.0008103857	0.0012755613	0.0107073423	-0.0020859470	0.0094317810	0.0000006567	0.0000016271	0.0001146472	0.0000043512	0.0000889585	0.0001169310	0.0000933097	0.0002102406
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.8556942487	0.8578472296	0.8512976419	0.9974902513	0.9923650885	-0.0014284957	0.0010844077	0.0100081834	-0.0025129034	0.0089237757	0.0000020406	0.0000011759	0.0001001637	0.0000063147	0.0000796338	0.0001033803	0.0000859485	0.0001893287
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.8551644934	0.8576848287	0.8507057504	0.9970614669	0.9918628871	-0.0020477815	0.0008950775	0.0093126600	-0.0029428591	0.0084175825	0.0000041934	0.0000008012	0.0000867256	0.0000086604	0.0000708557	0.0000917202	0.0000795161	0.0001712363
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.8546340918	0.8575239674	0.8501172271	0.9966299769	0.9913626434	-0.0026682074	0.0007075070	0.0086206147	-0.0033757144	0.0079131077	0.0000071193	0.0000005006	0.0000743150	0.0000113954	0.0000626173	0.0000819349	0.0000740127	0.0001559476
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.8541030745	0.8573645927	0.8495319372	0.9961958796	0.9908642653	-0.0032897393	0.0005216352	0.0079318962	-0.0038113745	0.0074102610	0.0000108224	0.0000002721	0.0000629150	0.0000145266	0.0000549120	0.0000740095	0.0000694385	0.0001434480
0.6000000000	0.7333333333	0.5861581846	0.7590898788	0.3554005743	1.0716600081	1.1566856030	0.9132470425	0.8535714710	0.8572066542	0.8489497512	0.9957592686	0.9903676635	-0.0039123445	0.0003374044	0.0072463592	-0.0042497488	0.0069089548	0.0000153064	0.0000001138	0.0000525097	0.0000180604	0.0000477337	0.0000679300	0.0000657940	0.0001337240
0.6000000000	0.7466666667	0.5812828977	0.7579300589	0.3533199756	1.0660754375	1.1589724316	0.9165447845	0.8530393095	0.8570501041	0.8483705450	0.9953202333	0.9898727518	-0.0045359917	0.0001547595	0.0065638642	-0.0046907511	0.0064091047	0.0000205752	0.0000000240	0.0000430843	0.0000220031	0.0000410766	0.0000636835	0.0000630798	0.0001267633
0.6000000000	0.7600000000	0.5764738625	0.7567505434	0.3512703999	1.0605637251	1.1612273979	0.9198015307	0.8525066169	0.8568948968	0.8477941991	0.9948788587	0.9893794470	-0.0051606510	-0.0000263517	0.0058842771	-0.0051342993	0.0059106288	0.0000266323	0.0000000007	0.0000346247	0.0000263610	0.0000349355	0.0000612577	0.0000612966	0.0001225543
0.6000000000	0.7733333333	0.5717298964	0.7555523509	0.3492510932	1.0551233295	1.1634512228	0.9230181012	0.8519734190	0.8567409889	0.8472205992	0.9944352261	0.9888876688	-0.0057862940	-0.0002059791	0.0052074689	-0.0055803149	0.0054134480	0.0000334812	0.0000000424	0.0000271177	0.0000311399	0.0000293054	0.0000606414	0.0000604453	0.0001210867
0.6000000000	0.7866666667	0.5670498404	0.7543364576	0.3472613267	1.0497527546	1.1656446051	0.9261952939	0.8514397403	0.8565883391	0.8466496352	0.9939894129	0.9883973393	-0.0064128933	-0.0003841699	0.0045333157	-0.0060287234	0.0049174856	0.0000411252	0.0000001476	0.0000205510	0.0000363455	0.0000241817	0.0000618237	0.0000605272	0.0001223509
0.6000000000	0.8000000000	0.5624325584	0.7531037986	0.3453003958	1.0444505473	1.1678082215	0.9293338848	0.8509056042	0.8564369081	0.8460812015	0.9935414929	0.9879083835	-0.0070404229	-0.0005609694	0.0038616983	-0.0064794535	0.0044226677	0.0000495676	0.0000003147	0.0000149127	0.0000419833	0.0000195600	0.0000647950	0.0000615433	0.0001263383
0.6000000000	0.8133333333	0.5578769374	0.7518552700	0.3433676193	1.0392152967	1.1699427281	0.9324346288	0.8503710332	0.8562866584	0.8455151964	0.9930915365	0.9874207289	-0.0076688580	-0.0007364206	0.0031925019	-0.0069324375	0.0039289224	0.0000588114	0.0000005423	0.0000101921	0.0000480587	0.0000154364	0.0000695458	0.0000634951	0.0001330409
0.6000000000	0.8266666667	0.5533818862	0.7505917307	0.3414623383	1.0340456318	1.1720487611	0.9354982606	0.8498360486	0.8561375543	0.8449515224	0.9926396107	0.9869343052	-0.0082981751	-0.0009105644	0.0025256162	-0.0073876107	0.0034361806	0.0000688597	0.0000008291	0.0000063787	0.0000545768	0.0000118073	0.0000760676	0.0000663841	0.0001424517
0.6000000000	0.8400000000	0.5489463361	0.7493140041	0.3395839152	1.0289402209	1.1741269373	0.9385254954	0.8493006707	0.8559895618	0.8443900856	0.9921857795	0.9864490447	-0.0089283515	-0.0010834400	0.0018609349	-0.0078449115	0.0029443750	0.0000797155	0.0000011738	0.0000034631	0.0000615426	0.0000086693	0.0000843524	0.0000702120	0.0001545644
0.6000000000	0.8533333333	0.5445692396	0.7480228792	0.3377317328	1.0238977692	1.1761778552	0.9415170292	0.8487649188	0.8558426484	0.8438307957	0.9917301041	0.9859648819	-0.0095593659	-0.0012550847	0.0011983560	-0.0083042812	0.0024534407	0.0000913815	0.0000015752	0.0000014361	0.0000689611	0.0000060194	0.0000943928	0.0000749805	0.0001693732
0.6000000000	0.8666666667	0.5402495706	0.7467191125	0.3359051938	1.0189170183	1.1782020953	0.9444735399	0.8482288114	0.8556967830	0.8432735661	0.9912726426	0.9854817534	-0.0101911978	-0.0014255340	0.0005377807	-0.0087656638	0.0019633147	0.0001038605	0.0000020321	0.0000002892	0.0000768369	0.0000038546	0.0001061819	0.0000806915	0.0001868733
0.6000000000	0.8800000000	0.5359863238	0.7454034296	0.3341037195	1.0139967446	1.1802002212	0.9473956878	0.8476923660	0.8555519362	0.8427183131	0.9908134505	0.9849995979	-0.0108238279	-0.0015948218	-0.0001208855	-0.0092290061	0.0014739363	0.0001171553	0.0000025435	0.0000000146	0.0000851746	0.0000021725	0.0001197133	0.0000873470	0.0002070604
0.6000000000	0.8933333333	0.5317785141	0.7440765257	0.3323267493	1.0091357578	1.1821727799	0.9502841158	0.8471555993	0.8554080797	0.8421649565	0.9903525807	0.9845183562	-0.0114572378	-0.0017629807	-0.0007777342	-0.0096942571	0.0009852466	0.0001312683	0.0000031081	0.0000006049	0.0000939786	0.0000009707	0.0001349813	0.0000949493	0.0002299306
0.6000000000	0.9066666667	0.5276251766	0.7427390680	0.3305737400	1.0043329003	1.1841203027	0.9531394505	0.8466185271	0.8552651864	0.8416134189	0.9898900839	0.9840379712	-0.0120914100	-0.0019300416	-0.0014328532	-0.0101613684	0.0004971884	0.0001462022	0.0000037251	0.0000020531	0.0001032534	0.0000002472	0.0001519803	0.0001035006	0.0002554809
0.6000000000	0.9200000000	0.5235253659	0.7413916960	0.3288441652	0.9995870456	1.1860433056	0.9559623024	0.8460811645	0.8551232307	0.8410636258	0.9894260080	0.9835583875	-0.0127263278	-0.0020960340	-0.0020863275	-0.0106302939	0.0000097065	0.0001619594	0.0000043934	0.0000043528	0.0001130031	0.0000000001	0.0001707055	0.0001130032	0.0002837088
0.6000000000	0.9333333333	0.5194781560	0.7400350231	0.3271375143	0.9948970974	1.1879422897	0.9587532664	0.8455435257	0.8549821878	0.8405155057	0.9889603992	0.9830795515	-0.0133619757	-0.0022609862	-0.0027382386	-0.0111009894	-0.0004772524	0.0001785424	0.0000051121	0.0000074980	0.0001232320	0.0000002278	0.0001911524	0.0001234597	0.0003146121
0.6000000000	0.9466666667	0.5154826394	0.7386696376	0.3254532924	0.9902619887	1.1898177422	0.9615129227	0.8450056244	0.8548420342	0.8399689896	0.9884933012	0.9826014116	-0.0139983385	-0.0024249254	-0.0033886656	-0.0115734132	-0.0009637402	0.0001959535	0.0000058803	0.0000114831	0.0001339439	0.0000009288	0.0002133168	0.0001348727	0.0003481895
0.6000000000	0.9600000000	0.5115379275	0.7372961040	0.3237910190	0.9856806804	1.1916701365	0.9642418367	0.8444674733	0.8547027475	0.8394240109	0.9880247558	0.9821239178	-0.0146354023	-0.0025878772	-0.0040376843	-0.0120475251	-0.0014498070	0.0002141950	0.0000066971	0.0000163029	0.0001451429	0.0000021019	0.0002371950	0.0001472448	0.0003844398
0.6000000000	0.9733333333	0.5076431494	0.7359149636	0.3221502282	0.9811521609	1.1934999328	0.9669405599	0.8439290848	0.8545643060	0.8388805057	0.9875548029	0.9816470216	-0.0152731537	-0.0027498666	-0.0046853679	-0.0125232871	-0.0019355014	0.0002332692	0.0000075618	0.0000219527	0.0001568327	0.0000037462	0.0002627837	0.0001605789	0.0004233625
