r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	0.8588573064	0.8588573064	0.8549280400	1.0000000000	0.9954250067	0.0022611703	0.0022611703	0.0142636621	0.0000000000	0.0120024917	0.0000051129	0.0000051129	0.0002034521	0.0000000000	0.0001440598	0.0002136778	0.0001440598	0.0003577376	10.1387180950	196.8595052346	895.4824164155	0.0000000000	1431.0143652134	1102.4806397451	1431.0143652134	2533.4950049585
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.8583321545	0.8586843872	0.8543127635	0.9995897996	0.9949089285	0.0016495291	0.0020598136	0.0135437208	-0.0004102845	0.0114839072	0.0000027209	0.0000042428	0.0001834324	0.0000001683	0.0001318801	0.0001903962	0.0001320485	0.0003224446	5.3955588251	163.3599821402	807.3669483511	0.4092541029	1310.0278007197	976.1224893164	1310.4370548226	2286.5595441390
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.8578061417	0.8585133900	0.8537017959	0.9991761942	0.9943954349	0.0010365099	0.0018606553	0.0128283081	-0.0008241453	0.0109676528	0.0000010744	0.0000034620	0.0001645655	0.0000006792	0.0001202894	0.0001691019	0.0001209686	0.0002900705	2.1304111789	133.2973975780	724.3254490939	1.6513165531	1194.8917192261	859.7532578509	1196.5430357792	2056.2962936301
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.8572793076	0.8583442427	0.8530949631	0.9987593147	0.9938844122	0.0004221567	0.0016636123	0.0121172301	-0.0012414556	0.0104536178	0.0000001782	0.0000027676	0.0001468273	0.0000015412	0.0001092781	0.0001497731	0.0001108193	0.0002605924	0.3533977970	106.5599661787	646.2516844231	3.7470122105	1085.5114162836	753.1650483988	1089.2584284941	1842.4234768929
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.8567516900	0.8581768764	0.8524920985	0.9983392860	0.9933757503	-0.0001934887	0.0014686059	0.0114103009	-0.0016620945	0.0099416950	0.0000000374	0.0000021568	0.0001301950	0.0000027626	0.0000988373	0.0001323892	0.0001015999	0.0002339891	0.0742382170	83.0424894519	573.0455884048	6.7163631401	981.7977500573	656.1623160737	988.5141131974	1644.6764292711
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.8562233254	0.8580112260	0.8518930424	0.9979162270	0.9928693432	-0.0008103857	0.0012755613	0.0107073423	-0.0020859470	0.0094317810	0.0000006567	0.0000016271	0.0001146472	0.0000043512	0.0000889585	0.0001169310	0.0000933097	0.0002102406	1.3022670639	62.6458797533	504.6129069524	10.5786263604	883.6668801315	568.5610537695	894.2455064919	1462.8065602614
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.8556942487	0.8578472296	0.8512976419	0.9974902513	0.9923650885	-0.0014284957	0.0010844077	0.0100081834	-0.0025129034	0.0089237757	0.0000020406	0.0000011759	0.0001001637	0.0000063147	0.0000796338	0.0001033803	0.0000859485	0.0001893287	4.0464519689	45.2767225551	440.8648649979	15.3523303555	791.0400200923	490.1880395219	806.3923504478	1296.5803899697
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.8551644934	0.8576848287	0.8507057504	0.9970614669	0.9918628871	-0.0020477815	0.0008950775	0.0093126600	-0.0029428591	0.0084175825	0.0000041934	0.0000008012	0.0000867256	0.0000086604	0.0000708557	0.0000917202	0.0000795161	0.0001712363	8.3154111547	30.8468736261	381.7178554510	21.0553103381	703.8432029968	420.8801402319	724.8985133349	1145.7786535668
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.8546340918	0.8575239674	0.8501172271	0.9966299769	0.9913626434	-0.0026682074	0.0007075070	0.0086206147	-0.0033757144	0.0079131077	0.0000071193	0.0000005006	0.0000743150	0.0000113954	0.0000626173	0.0000819349	0.0000740127	0.0001559476	14.1174306372	19.2730880541	327.0931483649	27.7047422589	622.0070590558	360.4836670563	649.7118013147	1010.1954683710
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.8541030745	0.8573645927	0.8495319372	0.9961958796	0.9908642653	-0.0032897393	0.0005216352	0.0079318962	-0.0038113745	0.0074102610	0.0000108224	0.0000002721	0.0000629150	0.0000145266	0.0000549120	0.0000740095	0.0000694385	0.0001434480	21.4604810039	10.4766783439	276.9166188071	35.3171755627	545.4666048077	308.8537781549	580.7837803704	889.6375585253
0.6000000000	0.7333333333	0.5861581846	0.7590898788	0.3554005743	1.0716600081	1.1566856030	0.9132470425	0.8535714710	0.8572066542	0.8489497512	0.9957592686	0.9903676635	-0.0039123445	0.0003374044	0.0072463592	-0.0042497488	0.0069089548	0.0000153064	0.0000001138	0.0000525097	0.0000180604	0.0000477337	0.0000679300	0.0000657940	0.0001337240	30.3522337365	4.3831990830	231.1184920709	43.9085647013	474.1610431229	265.8539248904	518.0696078242	783.9235327145
0.6000000000	0.7466666667	0.5812828977	0.7579300589	0.3533199756	1.0660754375	1.1589724316	0.9165447845	0.8530393095	0.8570501041	0.8483705450	0.9953202333	0.9898727518	-0.0045359917	0.0001547595	0.0065638642	-0.0046907511	0.0064091047	0.0000205752	0.0000000240	0.0000430843	0.0000220031	0.0000410766	0.0000636835	0.0000630798	0.0001267633	40.8000770535	0.9221559085	189.6331049745	53.4942994160	408.0335734268	231.3553379365	461.5278728428	692.8832107793
0.6000000000	0.7600000000	0.5764738625	0.7567505434	0.3512703999	1.0605637251	1.1612273979	0.9198015307	0.8525066169	0.8568948968	0.8477941991	0.9948788587	0.9893794470	-0.0051606510	-0.0000263517	0.0058842771	-0.0051342993	0.0059106288	0.0000266323	0.0000000007	0.0000346247	0.0000263610	0.0000349355	0.0000612577	0.0000612966	0.0001225543	52.8111312543	0.0267367164	152.3986820981	64.0892338072	347.0312115623	205.2365500688	411.1204453695	616.3569954384
0.6000000000	0.7733333333	0.5717298964	0.7555523509	0.3492510932	1.0551233295	1.1634512228	0.9230181012	0.8519734190	0.8567409889	0.8472205992	0.9944352261	0.9888876688	-0.0057862940	-0.0002059791	0.0052074689	-0.0055803149	0.0054134480	0.0000334812	0.0000000424	0.0000271177	0.0000311399	0.0000293054	0.0000606414	0.0000604453	0.0001210867	66.3922635512	1.6335632502	119.3571258961	75.7077142144	291.1046187453	187.3829526975	366.8123329597	554.1952856572
0.6000000000	0.7866666667	0.5670498404	0.7543364576	0.3472613267	1.0497527546	1.1656446051	0.9261952939	0.8514397403	0.8565883391	0.8466496352	0.9939894129	0.9883973393	-0.0064128933	-0.0003841699	0.0045333157	-0.0060287234	0.0049174856	0.0000411252	0.0000001476	0.0000205510	0.0000363455	0.0000241817	0.0000618237	0.0000605272	0.0001223509	81.5501023826	5.6824613722	90.4538197109	88.3636059294	240.2079391049	177.6863834657	328.5715450343	506.2579285000
0.6000000000	0.8000000000	0.5624325584	0.7531037986	0.3453003958	1.0444505473	1.1678082215	0.9293338848	0.8509056042	0.8564369081	0.8460812015	0.9935414929	0.9879083835	-0.0070404229	-0.0005609694	0.0038616983	-0.0064794535	0.0044226677	0.0000495676	0.0000003147	0.0000149127	0.0000419833	0.0000195600	0.0000647950	0.0000615433	0.0001263383	98.2910512015	12.1162484789	65.6374427879	102.0703187720	194.2986453266	176.0447424683	296.3689640986	472.4137065669
0.6000000000	0.8133333333	0.5578769374	0.7518552700	0.3433676193	1.0392152967	1.1699427281	0.9324346288	0.8503710332	0.8562866584	0.8455151964	0.9930915365	0.9874207289	-0.0076688580	-0.0007364206	0.0031925019	-0.0069324375	0.0039289224	0.0000588114	0.0000005423	0.0000101921	0.0000480587	0.0000154364	0.0000695458	0.0000634951	0.0001330409	116.6213017402	20.8805366587	44.8597964628	116.8408315549	153.3373919493	182.3616348617	270.1782235042	452.5398583659
0.6000000000	0.8266666667	0.5533818862	0.7505917307	0.3414623383	1.0340456318	1.1720487611	0.9354982606	0.8498360486	0.8561375543	0.8449515224	0.9926396107	0.9869343052	-0.0082981751	-0.0009105644	0.0025256162	-0.0073876107	0.0034361806	0.0000688597	0.0000008291	0.0000063787	0.0000545768	0.0000118073	0.0000760676	0.0000663841	0.0001424517	136.5468467517	31.9235503153	28.0756407561	132.6877154714	117.2878758855	196.5460378230	249.9755913569	446.5216291799
0.6000000000	0.8400000000	0.5489463361	0.7493140041	0.3395839152	1.0289402209	1.1741269373	0.9385254954	0.8493006707	0.8559895618	0.8443900856	0.9921857795	0.9864490447	-0.0089283515	-0.0010834400	0.0018609349	-0.0078449115	0.0029443750	0.0000797155	0.0000011738	0.0000034631	0.0000615426	0.0000086693	0.0000843524	0.0000702120	0.0001545644	158.0734922340	45.1959570954	15.2425406707	149.6231564354	86.1167037853	218.5119900002	235.7398602208	454.2518502209
0.6000000000	0.8533333333	0.5445692396	0.7480228792	0.3377317328	1.0238977692	1.1761778552	0.9415170292	0.8487649188	0.8558426484	0.8438307957	0.9917301041	0.9859648819	-0.0095593659	-0.0012550847	0.0011983560	-0.0083042812	0.0024534407	0.0000913815	0.0000015752	0.0000014361	0.0000689611	0.0000060194	0.0000943928	0.0000749805	0.0001693732	181.2068691430	60.6507110581	6.3207215324	167.6589764071	59.7932658359	248.1783017334	227.4522422430	475.6305439764
0.6000000000	0.8666666667	0.5402495706	0.7467191125	0.3359051938	1.0189170183	1.1782020953	0.9444735399	0.8482288114	0.8556967830	0.8432735661	0.9912726426	0.9854817534	-0.0101911978	-0.0014255340	0.0005377807	-0.0087656638	0.0019633147	0.0001038605	0.0000020321	0.0000002892	0.0000768369	0.0000038546	0.0001061819	0.0000806915	0.0001868733	205.9524446023	78.2429071187	1.2729327790	186.8066537377	38.2896156829	285.4682845000	225.0962694206	510.5645539206
0.6000000000	0.8800000000	0.5359863238	0.7454034296	0.3341037195	1.0139967446	1.1802002212	0.9473956878	0.8476923660	0.8555519362	0.8427183131	0.9908134505	0.9849995979	-0.0108238279	-0.0015948218	-0.0001208855	-0.0092290061	0.0014739363	0.0001171553	0.0000025435	0.0000000146	0.0000851746	0.0000021725	0.0001197133	0.0000873470	0.0002070604	232.3155326213	97.9296458816	0.0643196326	207.0773425670	21.5803561141	330.3094981355	228.6576986811	558.9671968166
0.6000000000	0.8933333333	0.5317785141	0.7440765257	0.3323267493	1.0091357578	1.1821727799	0.9502841158	0.8471555993	0.8554080797	0.8421649565	0.9903525807	0.9845183562	-0.0114572378	-0.0017629807	-0.0007777342	-0.0096942571	0.0009852466	0.0001312683	0.0000031081	0.0000006049	0.0000939786	0.0000009707	0.0001349813	0.0000949493	0.0002299306	260.3013043307	119.6699080533	2.6623021388	228.4818913060	9.6425302061	382.6335145228	238.1244215121	620.7579360349
0.6000000000	0.9066666667	0.5276251766	0.7427390680	0.3305737400	1.0043329003	1.1841203027	0.9531394505	0.8466185271	0.8552651864	0.8416134189	0.9898900839	0.9840379712	-0.0120914100	-0.0019300416	-0.0014328532	-0.0101613684	0.0004971884	0.0001462022	0.0000037251	0.0000020531	0.0001032534	0.0000002472	0.0001519803	0.0001035006	0.0002554809	289.9147977483	143.4244376951	9.0364610944	251.0308602392	2.4555176382	442.3756965379	253.4863778774	695.8620744152
0.6000000000	0.9200000000	0.5235253659	0.7413916960	0.3288441652	0.9995870456	1.1860433056	0.9559623024	0.8460811645	0.8551232307	0.8410636258	0.9894260080	0.9835583875	-0.0127263278	-0.0020960340	-0.0020863275	-0.0106302939	0.0000097065	0.0001619594	0.0000043934	0.0000043528	0.0001130031	0.0000000001	0.0001707055	0.0001130032	0.0002837088	321.1609270881	169.1556336369	19.1584304188	274.7345382791	0.0009358973	509.4749911438	274.7354741764	784.2104653203
0.6000000000	0.9333333333	0.5194781560	0.7400350231	0.3271375143	0.9948970974	1.1879422897	0.9587532664	0.8455435257	0.8549821878	0.8405155057	0.9889603992	0.9830795515	-0.0133619757	-0.0022609862	-0.0027382386	-0.0111009894	-0.0004772524	0.0001785424	0.0000051121	0.0000074980	0.0001232320	0.0000002278	0.0001911524	0.0001234597	0.0003146121	354.0444916255	196.8274484313	33.0017955545	299.6029589052	2.2625461144	583.8737356113	301.8655050196	885.7392406308
