r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score	v4_chi2_scaled	u4_chi2_scaled	w4_chi2_scaled	v4_over_u4_chi2_scaled	w4_over_u4_chi2_scaled	corr_score_scaled	ratio_score_scaled	total_score_scaled
0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.3780994017	1.1318880691	1.1318880691	0.8778165154	0.8588573064	0.8588573064	0.8549280400	1.0000000000	0.9954250067	0.0022611703	0.0022611703	0.0142636621	0.0000000000	0.0120024917	0.0000051129	0.0000051129	0.0002034521	0.0000000000	0.0001440598	0.0002136778	0.0001440598	0.0003577376	0.0239998302	0.4734443467	2.0724693590	0.0000000000	3.2075930785	2.5699135360	3.2075930785	5.7775066144
0.6000000000	0.6133333333	0.6332242747	0.7684499673	0.3756605980	1.1254788403	1.1345388873	0.8815749260	0.8583321545	0.8586843872	0.8543127635	0.9995897996	0.9949089285	0.0016495291	0.0020598136	0.0135437208	-0.0004102845	0.0114839072	0.0000027209	0.0000042428	0.0001834324	0.0000001683	0.0001318801	0.0001903962	0.0001320485	0.0003224446	0.0127720778	0.3928784639	1.8685383781	0.0012826965	2.9364038603	2.2741889197	2.9376865568	5.2118754765
0.6000000000	0.6266666667	0.6276954679	0.7675213739	0.3732620430	1.1191607976	1.1371491574	0.8852826986	0.8578061417	0.8585133900	0.8537017959	0.9991761942	0.9943954349	0.0010365099	0.0018606553	0.0128283081	-0.0008241453	0.0109676528	0.0000010744	0.0000034620	0.0001645655	0.0000006792	0.0001202894	0.0001691019	0.0001209686	0.0002900705	0.0050429952	0.3205783700	1.6763503914	0.0051756058	2.6783283951	2.0019717566	2.6835040009	4.6854757575
0.6000000000	0.6400000000	0.6222446663	0.7665616277	0.3709026533	1.1129318362	1.1397198869	0.8889409305	0.8572793076	0.8583442427	0.8530949631	0.9987593147	0.9938844122	0.0004221567	0.0016636123	0.0121172301	-0.0012414556	0.0104536178	0.0000001782	0.0000027676	0.0001468273	0.0000015412	0.0001092781	0.0001497731	0.0001108193	0.0002605924	0.0008365443	0.2562752228	1.4956595346	0.0117439979	2.4331544044	1.7527713018	2.4448984023	4.1976697041
0.6000000000	0.6533333333	0.6168704618	0.7655722356	0.3685813862	1.1067899182	1.1422520489	0.8925506866	0.8567516900	0.8581768764	0.8524920985	0.9983392860	0.9933757503	-0.0001934887	0.0014686059	0.0114103009	-0.0016620945	0.0099416950	0.0000000374	0.0000021568	0.0001301950	0.0000027626	0.0000988373	0.0001323892	0.0001015999	0.0002339891	0.0001757327	0.1997160214	1.3262342192	0.0210506266	2.2006820785	1.5261259733	2.2217327051	3.7478586784
0.6000000000	0.6666666667	0.6115714725	0.7645546393	0.3662972370	1.1007330701	1.1447465834	0.8961130000	0.8562233254	0.8580112260	0.8518930424	0.9979162270	0.9928693432	-0.0008103857	0.0012755613	0.0107073423	-0.0020859470	0.0094317810	0.0000006567	0.0000016271	0.0001146472	0.0000043512	0.0000889585	0.0001169310	0.0000933097	0.0002102406	0.0030826568	0.1506624614	1.1678563070	0.0331558477	1.9807234905	1.3216014253	2.0138793382	3.3354807634
0.6000000000	0.6800000000	0.6063463424	0.7635102187	0.3640492379	1.0947593807	1.1472043989	0.8996288741	0.8556942487	0.8578472296	0.8512976419	0.9974902513	0.9923650885	-0.0014284957	0.0010844077	0.0100081834	-0.0025129034	0.0089237757	0.0000020406	0.0000011759	0.0001001637	0.0000063147	0.0000796338	0.0001033803	0.0000859485	0.0001893287	0.0095785443	0.1088898822	1.0203203407	0.0481177338	1.7731020421	1.1387887671	1.8212197759	2.9600085430
0.6000000000	0.6933333333	0.6011937411	0.7624402946	0.3618364560	1.0888669976	1.1496263733	0.9030992827	0.8551644934	0.8576848287	0.8507057504	0.9970614669	0.9918628871	-0.0020477815	0.0008950775	0.0093126600	-0.0029428591	0.0084175825	0.0000041934	0.0000008012	0.0000867256	0.0000086604	0.0000708557	0.0000917202	0.0000795161	0.0001712363	0.0196837957	0.0741862981	0.8834328232	0.0659921845	1.5776519378	0.9773029170	1.6436441223	2.6209470393
0.6000000000	0.7066666667	0.5961123635	0.7613461314	0.3596579916	1.0830541259	1.1520133557	0.9065251720	0.8546340918	0.8575239674	0.8501172271	0.9966299769	0.9913626434	-0.0026682074	0.0007075070	0.0086206147	-0.0033757144	0.0079131077	0.0000071193	0.0000005006	0.0000743150	0.0000113954	0.0000626173	0.0000819349	0.0000740127	0.0001559476	0.0334180254	0.0463515062	0.7570115450	0.0868330333	1.3942176863	0.8367810766	1.4810507196	2.3178317962
0.6000000000	0.7200000000	0.5911009297	0.7602289398	0.3575129768	1.0773190253	1.1543661674	0.9099074609	0.8541030745	0.8573645927	0.8495319372	0.9961958796	0.9908642653	-0.0032897393	0.0005216352	0.0079318962	-0.0038113745	0.0074102610	0.0000108224	0.0000002721	0.0000629150	0.0000145266	0.0000549120	0.0000740095	0.0000694385	0.0001434480	0.0508001008	0.0251962644	0.6408849543	0.1106921498	1.2226536285	0.7168813194	1.3333457784	2.0502270978
0.6000000000	0.7333333333	0.5861581846	0.7590898788	0.3554005743	1.0716600081	1.1566856030	0.9132470425	0.8535714710	0.8572066542	0.8489497512	0.9957592686	0.9903676635	-0.0039123445	0.0003374044	0.0072463592	-0.0042497488	0.0069089548	0.0000153064	0.0000001138	0.0000525097	0.0000180604	0.0000477337	0.0000679300	0.0000657940	0.0001337240	0.0718481814	0.0105415323	0.5348915672	0.1376195391	1.0628234887	0.6172812809	1.2004430278	1.8177243087
