metric	best_r1	best_r2	tau_eff_real	tau_eff_imag	best_value
v4_chi2	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
u4_chi2	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
w4_chi2	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
v4_over_u4_chi2	0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.0000000000
w4_over_u4_chi2	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
corr_score	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
ratio_score	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
total_score	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
v4_chi2_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
u4_chi2_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
w4_chi2_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
v4_over_u4_chi2_scaled	0.6000000000	0.6000000000	0.6388325205	0.7693458330	0.0000000000
w4_over_u4_chi2_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
corr_score_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
ratio_score_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
total_score_scaled	1.0000000000	1.0000000000	0.5000000000	0.8660254038	0.0000000000
