r1	r2	tau_eff_real	tau_eff_imag	beta_c	alpha	beta_angle	gamma	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
2.8216696919	4.4123460860	0.1661172921	0.7943440697	0.1038150310	0.7611196846	1.0158307535	1.3646422155	0.8550016450	0.8874473788	0.8262815870	0.9634392590	0.9310767114	0.0060468973	0.0008376583	0.0027044472	0.0052092390	0.0018667889	0.0000365650	0.0000007017	0.0000073140	0.0000271362	0.0000034849	0.0000445807	0.0000306211	0.0000752017
2.8216696919	5.1477371003	0.1429132393	0.7370880577	0.0963471283	0.7102666100	1.0520424340	1.3792836095	0.8406904006	0.8858919590	0.8166202525	0.9489762177	0.9218056944	-0.0108330359	-0.0009165691	-0.0090569931	-0.0099164668	-0.0081404240	0.0001173547	0.0000008401	0.0000820291	0.0000983363	0.0000662665	0.0002002239	0.0001646028	0.0003648267
2.8216696919	5.8831281147	0.1248371715	0.6891242345	0.0900884545	0.6670254838	1.0829807214	1.3915864484	0.8272305981	0.8844217043	0.8068757119	0.9353350263	0.9123201160	-0.0269730026	-0.0025775798	-0.0210615287	-0.0243954228	-0.0184839489	0.0007275429	0.0000066439	0.0004435880	0.0005951367	0.0003416564	0.0011777748	0.0009367930	0.0021145678
2.8216696919	6.6185191290	0.1103982156	0.6482175802	0.0847488342	0.6297032917	1.1097848885	1.4021044734	0.8143864950	0.8830360739	0.7970504618	0.9222573336	0.9026250290	-0.0426214327	-0.0041455162	-0.0333131811	-0.0384759164	-0.0291676649	0.0018165865	0.0000171853	0.0011097680	0.0014803961	0.0008507527	0.0029435399	0.0023311488	0.0052746887
2.8216696919	7.3539101433	0.0986273787	0.6128185917	0.0801268885	0.5970895693	1.1332789856	1.4112240987	0.8020050320	0.8817309783	0.7871543158	0.9095801913	0.8927375073	-0.0579416135	-0.0056245736	-0.0458068624	-0.0523170399	-0.0401822889	0.0033572306	0.0000316358	0.0020982686	0.0027370727	0.0016146163	0.0054871350	0.0043516890	0.0098388241
2.8216696919	8.0893011577	0.0888684163	0.5818145199	0.0760778846	0.5682927778	1.1540755910	1.4192242848	0.7899842379	0.8805012964	0.7772011296	0.8971982677	0.8826802786	-0.0730435024	-0.0070201695	-0.0585320016	-0.0660233329	-0.0515118321	0.0053353532	0.0000492828	0.0034259952	0.0043590805	0.0026534688	0.0088106312	0.0070125493	0.0158231806
2.8216696919	8.8246921720	0.0806616303	0.5543828345	0.0724947689	0.5426398510	1.1726406730	1.4263121297	0.7782549363	0.8793418478	0.7672067012	0.8850425329	0.8724783235	-0.0880023435	-0.0083378424	-0.0714749145	-0.0796645011	-0.0631370721	0.0077444125	0.0000695196	0.0051086634	0.0063464327	0.0039862899	0.0129225955	0.0103327226	0.0232553181
2.8216696919	9.5600831863	0.0736757820	0.5299006640	0.0692964304	0.5196119250	1.1893356998	1.4326450288	0.7667696380	0.8782477481	0.7571874663	0.8730675822	0.8621570256	-0.1028700810	-0.0095828428	-0.0846203062	-0.0932872382	-0.0750374634	0.0105822536	0.0000918309	0.0071605962	0.0087025088	0.0056306209	0.0178346807	0.0143331297	0.0321678104
2.8216696919	10.2954742007	0.0676664031	0.5078865573	0.0664201464	0.4988017727	1.2044458664	1.4383450144	0.7554955312	0.8772145140	0.7471597060	0.8612437655	0.8517411580	-0.1176826289	-0.0107600076	-0.0979522139	-0.1069226213	-0.0871922063	0.0138492011	0.0001157778	0.0095946362	0.0114324469	0.0076024808	0.0235596151	0.0190349278	0.0425945429
3.2919479738	4.4123460860	0.1680755309	0.8534783130	0.0978394484	0.7981860081	0.9670522730	1.3763543725	0.8669908761	0.8886072971	0.8341262888	0.9756738201	0.9386894431	0.0199719576	0.0021438325	0.0121536437	0.0178281251	0.0100098113	0.0003988791	0.0000045960	0.0001477111	0.0003178420	0.0001001963	0.0005511862	0.0004180384	0.0009692245
3.2919479738	5.1477371003	0.1448943691	0.7919236445	0.0909796619	0.7470557840	1.0047040108	1.3898328587	0.8532480201	0.8871826354	0.8254837161	0.9617501358	0.9304552221	0.0039937717	0.0005392936	0.0017383644	0.0034544781	0.0011990708	0.0000159502	0.0000002908	0.0000030219	0.0000119334	0.0000014378	0.0000192630	0.0000133712	0.0000326342
3.2919479738	5.8831281147	0.1268042164	0.7404605478	0.0852121455	0.7033255015	1.0370760767	1.4011910754	0.8404634270	0.8858110530	0.8167804751	0.9488066605	0.9220707648	-0.0111030571	-0.0010079005	-0.0088608102	-0.0100951566	-0.0078529098	0.0001232779	0.0000010159	0.0000785140	0.0001019122	0.0000616682	0.0002028077	0.0001635804	0.0003663881
