tau_real	tau_imag	v4_value	u4_value	w4_value	v4_over_u4_value	w4_over_u4_value	v4_log_residual	u4_log_residual	w4_log_residual	v4_over_u4_log_residual	w4_over_u4_log_residual	v4_chi2	u4_chi2	w4_chi2	v4_over_u4_chi2	w4_over_u4_chi2	corr_score	ratio_score	total_score
0.4200000000	0.6660254038	0.8584175608	0.8896221785	0.8285546211	0.9649237413	0.9313556262	-0.0404055325	-0.0046993271	-0.0235742369	-0.0357062054	-0.0188749097	0.0016326071	0.0000220837	0.0005557446	0.0012749331	0.0003562622	0.0022104354	0.0016311953	0.0038416307
0.4200000000	0.6726920705	0.8593677480	0.8897165568	0.8290738755	0.9658893515	0.9318404487	-0.0392992390	-0.0045932447	-0.0229477342	-0.0347059943	-0.0183544895	0.0015444302	0.0000210979	0.0005265985	0.0012045060	0.0003368873	0.0020921266	0.0015413933	0.0036335199
0.4200000000	0.6793587371	0.8603200616	0.8898114834	0.8295967053	0.9668565507	0.9323286120	-0.0381916965	-0.0044865573	-0.0223173139	-0.0337051392	-0.0178307566	0.0014586057	0.0000201292	0.0004980625	0.0011360364	0.0003179359	0.0019767974	0.0014539723	0.0034307697
0.4200000000	0.6860254038	0.8612742156	0.8899068599	0.8301226786	0.9678251224	0.9328197321	-0.0370832424	-0.0043793758	-0.0216835039	-0.0327038667	-0.0173041281	0.0013751669	0.0000191789	0.0004701743	0.0010695429	0.0002994328	0.0018645201	0.0013689757	0.0032334959
0.4200000000	0.6926920705	0.8622299388	0.8900025900	0.8306513820	0.9687948648	0.9333134436	-0.0359741957	-0.0042718084	-0.0210468087	-0.0317023874	-0.0167750003	0.0012941428	0.0000182483	0.0004429682	0.0010050414	0.0002814006	0.0017553593	0.0012864420	0.0030418013
0.4200000000	0.6993587371	0.8631869741	0.8900985800	0.8311824198	0.9697655895	0.9338093987	-0.0348648575	-0.0041639605	-0.0204077101	-0.0307008970	-0.0162437496	0.0012155583	0.0000173386	0.0004164746	0.0009425451	0.0002638594	0.0016493715	0.0012064045	0.0028557760
0.4200000000	0.7060254038	0.8641450782	0.8901947388	0.8317154134	0.9707371214	0.9343072669	-0.0337555119	-0.0040559348	-0.0197666682	-0.0296995771	-0.0157107335	0.0011394346	0.0000164506	0.0003907212	0.0008820649	0.0002468271	0.0015466064	0.0011288920	0.0026754984
0.4200000000	0.7126920705	0.8651040206	0.8902909775	0.8322500008	0.9717092979	0.9348067339	-0.0326464264	-0.0039478309	-0.0191241219	-0.0286985955	-0.0151762910	0.0010657892	0.0000155854	0.0003657320	0.0008236094	0.0002303198	0.0014471066	0.0010539292	0.0025010358
0.4200000000	0.7193587371	0.8660635835	0.8903872096	0.8327858359	0.9726819683	0.9353075010	-0.0315378532	-0.0038397461	-0.0184804899	-0.0276981071	-0.0146407438	0.0009946362	0.0000147437	0.0003415285	0.0007671851	0.0002143514	0.0013509083	0.0009815365	0.0023324449
0.4200000000	0.7260254038	0.8670235610	0.8904833510	0.8333225879	0.9736549932	0.9358092849	-0.0304300294	-0.0037317749	-0.0178361718	-0.0266982545	-0.0141043969	0.0009259867	0.0000139261	0.0003181290	0.0007127968	0.0001989340	0.0012580419	0.0009117308	0.0021697727
0.4200000000	0.7326920705	0.8679837588	0.8905793199	0.8338599405	0.9746282441	0.9363118162	-0.0293231777	-0.0036240090	-0.0171915481	-0.0256991688	-0.0135675391	0.0008598488	0.0000131334	0.0002955493	0.0006604473	0.0001840781	0.0011685315	0.0008445254	0.0020130569
0.4200000000	0.7393587371	0.8689439935	0.8906750368	0.8343975918	0.9756016028	0.9368148397	-0.0282175074	-0.0035165377	-0.0165469818	-0.0247009697	-0.0130304441	0.0007962277	0.0000123660	0.0002738026	0.0006101379	0.0001697925	0.0010823964	0.0007799304	0.0018623267
0.4200000000	0.7460254038	0.8699040923	0.8907704243	0.8349352534	0.9765749609	0.9373181132	-0.0271132144	-0.0034094476	-0.0159028184	-0.0237037668	-0.0124933707	0.0007351264	0.0000116243	0.0002528996	0.0005618686	0.0001560843	0.0009996504	0.0007179529	0.0017176032
0.4200000000	0.7526920705	0.8708638925	0.8908654074	0.8354726498	0.9775482192	0.9378214070	-0.0260104823	-0.0033028231	-0.0152593870	-0.0227076593	-0.0119565639	0.0006765452	0.0000109086	0.0002328489	0.0005156378	0.0001429594	0.0009203027	0.0006585972	0.0015788999
0.4200000000	0.7593587371	0.8718232411	0.8909599130	0.8360095183	0.9785212874	0.9383245038	-0.0249094829	-0.0031967457	-0.0146170008	-0.0217127372	-0.0114202551	0.0006204823	0.0000102192	0.0002136567	0.0004714430	0.0001304222	0.0008443582	0.0006018652	0.0014462234
0.4200000000	0.7660254038	0.8727819945	0.8910538705	0.8365456080	0.9794940838	0.9388271975	-0.0238103765	-0.0030912948	-0.0139759579	-0.0207190817	-0.0108846631	0.0005669340	0.0000095561	0.0001953274	0.0004292803	0.0001184759	0.0007718175	0.0005477562	0.0013195738
0.4200000000	0.7726920705	0.8737400175	0.8911472109	0.8370806799	0.9804665344	0.9393292934	-0.0227133126	-0.0029865475	-0.0133365417	-0.0197267651	-0.0103499942	0.0005158946	0.0000089195	0.0001778633	0.0003891453	0.0001071224	0.0007026774	0.0004962676	0.0011989450
