Nt K m_susc U4
1 0.14 6.017625263305e-04 -2.416478285444e-01
1 0.16 6.197609910573e-04 -5.091216835787e-02
1 0.18 8.213794742474e-04 4.369458899619e-01
1 0.20 2.588166411255e-03 -2.207456424098e-01
1 0.22 2.741723174260e-03 1.425098825680e-01
1 0.24 7.918768522597e-03 1.436343187890e-01
1 0.26 2.847205088868e-02 3.186040586232e-02
1 0.27465307216702745 2.586770491067e-02 9.110613631346e-01
2 0.14 2.145203410882e-02 2.719210455780e-01
2 0.16 9.168842606927e-04 9.975070688987e-01
2 0.18 1.847696894488e-04 9.995665850471e-01
2 0.20 6.434520417997e-05 9.998596392703e-01
2 0.22 2.982424582321e-05 9.999365662573e-01
2 0.24 2.535753676514e-05 9.999474591481e-01
2 0.26 9.834380524820e-06 9.999798655768e-01
2 0.27465307216702745 9.117957801785e-06 9.999814705055e-01
4 0.14 6.916430306921e-04 -1.449897978012e-03
4 0.16 4.785262550699e-03 -1.332969419667e-01
4 0.18 4.654971578810e-04 9.982728559325e-01
4 0.20 9.128996842944e-05 9.997447270866e-01
4 0.22 4.487111474716e-05 9.998910746601e-01
4 0.24 2.537613362108e-05 9.999424704240e-01
4 0.26 2.037684874379e-05 9.999557126163e-01
4 0.27465307216702745 1.400100692339e-05 9.999702690636e-01
