Top 20 shapes by err_total
rank lx ly theta lr err_x err_y err_y-x err_total
 1 1.0000 1.0000 90.0 1.4142 0.000000 0.197753 0.204519 0.134091
 2 1.0000 1.0000 89.0 1.4018 0.000000 0.197753 0.205272 0.134342
 3 1.0000 0.9900 90.0 1.4072 0.000000 0.198238 0.204948 0.134395
 4 1.0000 0.9800 91.0 1.4123 0.000000 0.198716 0.204635 0.134450
 5 1.0000 0.9900 91.0 1.4194 0.000000 0.198238 0.205430 0.134556
 6 1.0000 1.0000 88.0 1.3893 0.000000 0.197753 0.206031 0.134595
 7 1.0000 0.9900 89.0 1.3948 0.000000 0.198238 0.205697 0.134645
 8 1.0000 0.9800 90.0 1.4001 0.000000 0.198716 0.205374 0.134697
 9 1.0000 0.9700 92.0 1.4173 0.000000 0.199188 0.205055 0.134748
10 1.0000 0.9700 91.0 1.4053 0.000000 0.199188 0.205063 0.134750
11 1.0000 0.9600 92.0 1.4102 0.000000 0.199652 0.204765 0.134806
12 1.0000 1.0000 91.0 1.4265 0.000000 0.197753 0.206676 0.134810
13 1.0000 1.0000 87.0 1.3767 0.000000 0.197753 0.206795 0.134849
14 1.0000 0.9900 88.0 1.3824 0.000000 0.198238 0.206451 0.134896
15 1.0000 0.9500 93.0 1.4149 0.000000 0.200110 0.204640 0.134917
16 1.0000 0.9800 89.0 1.3879 0.000000 0.198716 0.206118 0.134945
17 1.0000 0.9700 90.0 1.3932 0.000000 0.199188 0.205798 0.134995
18 1.0000 0.9800 92.0 1.4244 0.000000 0.198716 0.206302 0.135006
19 1.0000 0.9600 91.0 1.3983 0.000000 0.199652 0.205489 0.135047
20 1.0000 0.9500 92.0 1.4031 0.000000 0.200110 0.205192 0.135101
