left_length_over_a,diag_length_over_a,err_left,err_diag,objective
0.816000,0.816000,0.0191494515,0.0191494515,0.0191494515
0.816000,0.826000,0.0191494515,0.0191141250,0.0191317882
0.816000,0.836000,0.0191494515,0.0190867753,0.0191181134
0.816000,0.846000,0.0191494515,0.0190673181,0.0191083848
0.816000,0.856000,0.0191494515,0.0190556700,0.0191025607
0.816000,0.866000,0.0191494515,0.0190517483,0.0191005999
0.816000,0.876000,0.0191494515,0.0190554708,0.0191024611
0.816000,0.886000,0.0191494515,0.0190667564,0.0191081039
0.816000,0.896000,0.0191494515,0.0190855244,0.0191174880
0.816000,0.906000,0.0191494515,0.0191116951,0.0191305733
0.816000,0.916000,0.0191494515,0.0191451893,0.0191473204
0.826000,0.816000,0.0191141250,0.0191494515,0.0191317882
0.826000,0.826000,0.0191141250,0.0191141250,0.0191141250
0.826000,0.836000,0.0191141250,0.0190867753,0.0191004501
0.826000,0.846000,0.0191141250,0.0190673181,0.0190907215
0.826000,0.856000,0.0191141250,0.0190556700,0.0190848975
0.826000,0.866000,0.0191141250,0.0190517483,0.0190829366
0.826000,0.876000,0.0191141250,0.0190554708,0.0190847979
0.826000,0.886000,0.0191141250,0.0190667564,0.0190904407
0.826000,0.896000,0.0191141250,0.0190855244,0.0190998247
0.826000,0.906000,0.0191141250,0.0191116951,0.0191129100
0.826000,0.916000,0.0191141250,0.0191451893,0.0191296571
0.836000,0.816000,0.0190867753,0.0191494515,0.0191181134
0.836000,0.826000,0.0190867753,0.0191141250,0.0191004501
0.836000,0.836000,0.0190867753,0.0190867753,0.0190867753
0.836000,0.846000,0.0190867753,0.0190673181,0.0190770467
0.836000,0.856000,0.0190867753,0.0190556700,0.0190712226
0.836000,0.866000,0.0190867753,0.0190517483,0.0190692618
0.836000,0.876000,0.0190867753,0.0190554708,0.0190711230
0.836000,0.886000,0.0190867753,0.0190667564,0.0190767658
0.836000,0.896000,0.0190867753,0.0190855244,0.0190861499
0.836000,0.906000,0.0190867753,0.0191116951,0.0190992352
0.836000,0.916000,0.0190867753,0.0191451893,0.0191159823
0.846000,0.816000,0.0190673181,0.0191494515,0.0191083848
0.846000,0.826000,0.0190673181,0.0191141250,0.0190907215
0.846000,0.836000,0.0190673181,0.0190867753,0.0190770467
0.846000,0.846000,0.0190673181,0.0190673181,0.0190673181
0.846000,0.856000,0.0190673181,0.0190556700,0.0190614941
0.846000,0.866000,0.0190673181,0.0190517483,0.0190595332
0.846000,0.876000,0.0190673181,0.0190554708,0.0190613945
0.846000,0.886000,0.0190673181,0.0190667564,0.0190670373
0.846000,0.896000,0.0190673181,0.0190855244,0.0190764213
0.846000,0.906000,0.0190673181,0.0191116951,0.0190895066
0.846000,0.916000,0.0190673181,0.0191451893,0.0191062537
0.856000,0.816000,0.0190556700,0.0191494515,0.0191025607
0.856000,0.826000,0.0190556700,0.0191141250,0.0190848975
