Nx,Ny,Ns,p_x,p_y,p_y_minus_x
4,4,0,4,4,4
4,4,1,4,16,16
4,4,2,4,8,8
4,4,3,4,16,16
4,8,0,4,8,8
4,8,1,4,32,32
4,8,2,4,16,16
4,8,3,4,32,32
4,12,0,4,12,12
4,12,1,4,48,48
4,12,2,4,24,24
4,12,3,4,48,48
4,16,0,4,16,16
4,16,1,4,64,64
4,16,2,4,32,32
4,16,3,4,64,64
8,4,0,8,4,8
8,4,1,8,32,32
8,4,2,8,16,16
8,4,3,8,32,32
8,4,4,8,8,4
8,4,5,8,32,32
8,4,6,8,16,16
8,4,7,8,32,32
8,8,0,8,8,8
8,8,1,8,64,64
8,8,2,8,32,32
8,8,3,8,64,64
8,8,4,8,16,16
8,8,5,8,64,64
8,8,6,8,32,32
8,8,7,8,64,64
8,12,0,8,12,24
8,12,1,8,96,96
8,12,2,8,48,48
8,12,3,8,96,96
8,12,4,8,24,12
8,12,5,8,96,96
8,12,6,8,48,48
8,12,7,8,96,96
8,16,0,8,16,16
8,16,1,8,128,128
8,16,2,8,64,64
8,16,3,8,128,128
8,16,4,8,32,32
8,16,5,8,128,128
8,16,6,8,64,64
8,16,7,8,128,128
12,4,0,12,4,12
12,4,1,12,48,48
12,4,2,12,24,8
12,4,3,12,16,48
12,4,4,12,12,12
12,4,5,12,48,16
12,4,6,12,8,24
12,4,7,12,48,48
12,4,8,12,12,4
12,4,9,12,16,48
12,4,10,12,24,24
12,4,11,12,48,16
12,8,0,12,8,24
12,8,1,12,96,32
12,8,2,12,48,48
12,8,3,12,32,96
12,8,4,12,24,8
12,8,5,12,96,96
12,8,6,12,16,48
12,8,7,12,96,32
12,8,8,12,24,24
12,8,9,12,32,96
12,8,10,12,48,16
12,8,11,12,96,96
12,12,0,12,12,12
12,12,1,12,144,144
12,12,2,12,72,72
12,12,3,12,48,48
12,12,4,12,36,36
12,12,5,12,144,144
12,12,6,12,24,24
12,12,7,12,144,144
12,12,8,12,36,36
12,12,9,12,48,48
12,12,10,12,72,72
12,12,11,12,144,144
12,16,0,12,16,48
12,16,1,12,192,192
12,16,2,12,96,32
12,16,3,12,64,192
12,16,4,12,48,48
12,16,5,12,192,64
12,16,6,12,32,96
12,16,7,12,192,192
12,16,8,12,48,16
12,16,9,12,64,192
12,16,10,12,96,96
12,16,11,12,192,64
16,4,0,16,4,16
16,4,1,16,64,64
16,4,2,16,32,32
16,4,3,16,64,64
16,4,4,16,16,8
16,4,5,16,64,64
16,4,6,16,32,32
16,4,7,16,64,64
16,4,8,16,8,16
16,4,9,16,64,64
16,4,10,16,32,32
16,4,11,16,64,64
16,4,12,16,16,4
16,4,13,16,64,64
16,4,14,16,32,32
16,4,15,16,64,64
16,8,0,16,8,16
16,8,1,16,128,128
16,8,2,16,64,64
16,8,3,16,128,128
16,8,4,16,32,32
16,8,5,16,128,128
16,8,6,16,64,64
16,8,7,16,128,128
16,8,8,16,16,8
16,8,9,16,128,128
16,8,10,16,64,64
16,8,11,16,128,128
16,8,12,16,32,32
16,8,13,16,128,128
16,8,14,16,64,64
16,8,15,16,128,128
16,12,0,16,12,48
16,12,1,16,192,192
16,12,2,16,96,96
16,12,3,16,192,192
16,12,4,16,48,12
16,12,5,16,192,192
16,12,6,16,96,96
16,12,7,16,192,192
16,12,8,16,24,48
16,12,9,16,192,192
16,12,10,16,96,96
16,12,11,16,192,192
16,12,12,16,48,24
16,12,13,16,192,192
16,12,14,16,96,96
16,12,15,16,192,192
16,16,0,16,16,16
16,16,1,16,256,256
16,16,2,16,128,128
16,16,3,16,256,256
16,16,4,16,64,64
16,16,5,16,256,256
16,16,6,16,128,128
16,16,7,16,256,256
16,16,8,16,32,32
16,16,9,16,256,256
16,16,10,16,128,128
16,16,11,16,256,256
16,16,12,16,64,64
16,16,13,16,256,256
16,16,14,16,128,128
16,16,15,16,256,256
