Compensating Triangle Cases
==========================

Columns: L, shift, periods (px, py, p(y-x)), and solved shape with |x|=1

   L  shift   px   py  p(y-x)      |x|        |y|      |y-x|   theta(deg)
----------------------------------------------------------------------------------
  64      0   64   64      64    1.000   1.000000   1.414214    90.000000
  64      1   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64      2   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64      3   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64      4   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64      5   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64      6   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64      7   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64      8   64  512     512    1.000   0.125000   0.176777     0.000000
  64      9   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     10   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     11   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     12   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     13   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     14   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     15   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     16   64  256     256    1.000   0.250000   0.353553     0.000000
  64     17   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     18   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     19   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     20   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     21   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     22   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     23   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     24   64  512     512    1.000   0.125000   0.176777     0.000000
  64     25   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     26   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     27   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     28   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     29   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     30   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     31   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     32   64  128     128    1.000   0.500000   0.707107    41.409622
  64     33   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     34   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     35   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     36   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     37   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     38   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     39   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     40   64  512     512    1.000   0.125000   0.176777     0.000000
  64     41   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     42   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     43   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     44   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     45   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     46   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     47   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     48   64  256     256    1.000   0.250000   0.353553     0.000000
  64     49   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     50   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     51   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     52   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     53   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     54   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     55   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     56   64  512     512    1.000   0.125000   0.176777     0.000000
  64     57   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     58   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     59   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     60   64 1024    1024    1.000   0.062500   0.088388     0.000000
  64     61   64 4096    4096    1.000   0.015625   0.022097     0.000000
  64     62   64 2048    2048    1.000   0.031250   0.044194     0.000000
  64     63   64 4096    4096    1.000   0.015625   0.022097     0.000000
