L,shift,p_x,p_left,p_diag,x_length,left_length,diag_length,decay_scale,panel_png
32,0,32,32,32,1.0,1.0,1.0,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift0.png
32,1,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift1.png
32,2,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift2.png
32,3,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift3.png
32,4,32,256,256,1.0,0.125,0.125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift4.png
32,5,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift5.png
32,6,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift6.png
32,7,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift7.png
32,8,32,128,128,1.0,0.25,0.25,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift8.png
32,9,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift9.png
32,10,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift10.png
32,11,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift11.png
32,12,32,256,256,1.0,0.125,0.125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift12.png
32,13,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift13.png
32,14,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift14.png
32,15,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift15.png
32,16,32,64,64,1.0,0.5,0.5,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift16.png
32,17,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift17.png
32,18,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift18.png
32,19,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift19.png
32,20,32,256,256,1.0,0.125,0.125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift20.png
32,21,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift21.png
32,22,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift22.png
32,23,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift23.png
32,24,32,128,128,1.0,0.25,0.25,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift24.png
32,25,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift25.png
32,26,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift26.png
32,27,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift27.png
32,28,32,256,256,1.0,0.125,0.125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift28.png
32,29,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift29.png
32,30,32,512,512,1.0,0.0625,0.0625,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift30.png
32,31,32,1024,1024,1.0,0.03125,0.03125,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift31.png
32,32,32,32,32,1.0,1.0,1.0,10.0,thinkTwist/two_point_base_vs_comp_panel_L32_shift32.png
